name	radius	peak valley ratio	kind	bp	ncontigs	medoid
164	0.06	None	fallback	52477	25	k79_24124
165	0.06	None	fallback	31847	18	k79_15656
166	None	None	loner	4512	1	k79_63153
167	0.02	0.28	normal	4504	1	k79_43234
168	0.02	0.39	normal	4423	1	k79_24820
169	0.06	None	fallback	14026	6	k79_7104
170	0.06	None	fallback	62738	34	k79_38397
171	0.06	None	fallback	65950	39	k79_81562
172	0.06	None	fallback	8468	4	k79_8432
173	0.06	None	fallback	54652	27	k79_7673
174	0.02	0.31	normal	4206	1	k79_87524
175	0.045	0.07	normal	7624	2	k79_29525
176	None	None	loner	4161	1	k79_85808
177	0.06	None	fallback	12822	5	k79_21280
178	0.02	0.3	normal	4077	1	k79_29906
179	0.06	None	fallback	19172	7	k79_33981
180	0.06	None	fallback	12168	5	k79_58586
181	0.02	0.32	normal	3996	1	k79_29796
182	0.06	None	fallback	16788	8	k79_70729
183	0.06	None	fallback	10531	3	k79_18445
184	0.02	0.52	normal	3844	1	k79_70753
185	0.06	None	fallback	10869	5	k79_63758
186	None	None	loner	3814	1	k79_30546
187	None	None	loner	3784	1	k79_3545
188	0.025	0.15	normal	3741	1	k79_24000
189	None	None	loner	3678	1	k79_84801
190	0.02	0.33	normal	3663	1	k79_8705
191	0.06	None	fallback	54882	40	k79_90254
192	0.02	0.24	normal	3542	1	k79_38291
193	0.065	0.41	normal	12123	5	k79_45211
194	None	None	loner	3491	1	k79_35543
195	0.06	None	fallback	13864	7	k79_3444
196	0.06	None	fallback	21794	12	k79_66781
197	0.06	None	fallback	29489	15	k79_71242
198	0.06	None	fallback	10401	5	k79_73764
199	0.06	None	fallback	17777	10	k79_95043
200	0.06	None	fallback	13924	7	k79_20543
201	0.06	None	fallback	18755	9	k79_86388
202	0.06	None	fallback	11375	6	k79_53978
203	None	None	loner	3311	1	k79_93433
204	0.025	0.2	normal	3272	1	k79_28863
205	None	None	loner	3266	1	k79_26495
206	0.06	None	fallback	10088	5	k79_91209
207	0.06	None	fallback	8077	4	k79_78655
208	0.06	None	fallback	9433	4	k79_85132
209	0.02	0.43	normal	3136	1	k79_40027
210	None	None	loner	3119	1	k79_19242
211	0.025	0.17	normal	3105	1	k79_94830
212	0.06	None	fallback	42699	30	k79_3662
213	None	None	loner	3063	1	k79_44376
214	None	None	loner	3028	1	k79_20803
215	0.06	None	fallback	10377	6	k79_29282
216	None	None	loner	2986	1	k79_97335
217	None	None	loner	2982	1	k79_93818
218	0.025	0.14	normal	2972	1	k79_59951
219	0.08	0.11	normal	278977	199	k79_79627
220	0.06	None	fallback	41638	26	k79_78583
221	0.025	0.13	normal	2957	1	k79_28518
222	0.07	0.56	normal	20300	12	k79_25135
223	None	None	loner	2931	1	k79_1485
224	0.02	0.45	normal	2916	1	k79_78634
225	None	None	loner	2903	1	k79_3818
226	0.025	0.1	normal	2899	1	k79_85082
227	0.06	None	fallback	58837	41	k79_95062
228	None	None	loner	2888	1	k79_88751
229	0.025	0.22	normal	11790	1	k79_44495
230	None	None	loner	2879	1	k79_9073
231	0.025	0.13	normal	2841	1	k79_43572
232	None	None	loner	2839	1	k79_48179
233	0.09	0.15	normal	28085	17	k79_54072
234	0.02	0.4	normal	2819	1	k79_63491
235	0.06	None	fallback	10184	4	k79_15896
236	0.06	0.47	normal	18530	12	k79_95286
237	None	None	loner	2812	1	k79_87684
238	0.025	0.12	normal	2799	1	k79_62993
239	None	None	loner	2789	1	k79_79263
240	0.06	None	fallback	14791	8	k79_59153
241	None	None	loner	2783	1	k79_28413
242	0.05	0.25	normal	5059	2	k79_89148
243	None	None	loner	2782	1	k79_40017
244	None	None	loner	2778	1	k79_64585
245	None	None	loner	2761	1	k79_5028
246	None	None	loner	2758	1	k79_63232
247	None	None	loner	2755	1	k79_45081
248	0.06	None	fallback	11384	8	k79_2548
249	None	None	loner	2732	1	k79_57854
250	None	None	loner	2721	1	k79_85133
251	None	None	loner	2716	1	k79_18724
252	None	None	loner	2712	1	k79_70150
253	0.05	0.16	normal	3724	2	k79_39090
254	None	None	loner	2707	1	k79_14272
255	0.06	None	fallback	16081	10	k79_45161
256	None	None	loner	2673	1	k79_18211
257	0.06	None	fallback	16481	11	k79_57661
258	0.06	0.55	normal	18423	12	k79_32998
259	0.02	0.33	normal	2660	1	k79_11236
260	None	None	loner	2649	1	k79_74384
261	None	None	loner	2649	1	k79_84058
262	None	None	loner	2630	1	k79_79756
263	None	None	loner	2629	1	k79_43139
264	None	None	loner	2621	1	k79_54133
265	None	None	loner	2620	1	k79_89108
266	None	None	loner	2613	1	k79_5593
267	None	None	loner	2595	1	k79_74574
268	None	None	loner	2593	1	k79_63274
269	0.06	None	fallback	16349	9	k79_43073
270	None	None	loner	2584	1	k79_72113
271	None	None	loner	2582	1	k79_90293
272	None	None	loner	2568	1	k79_11665
273	None	None	loner	2566	1	k79_34287
274	0.06	None	fallback	25099	19	k79_75561
275	None	None	loner	2551	1	k79_20813
276	None	None	loner	2545	1	k79_47069
277	None	None	loner	2545	1	k79_36223
278	None	None	loner	2539	1	k79_33426
279	None	None	loner	2538	1	k79_42601
280	None	None	loner	2538	1	k79_59585
281	None	None	loner	2519	1	k79_21561
282	None	None	loner	2497	1	k79_58803
283	None	None	loner	2494	1	k79_51009
284	0.09	0.42	normal	36771	23	k79_50722
285	0.02	0.23	normal	2487	1	k79_81709
286	0.06	None	fallback	7688	4	k79_80217
287	None	None	loner	2485	1	k79_83394
288	None	None	loner	2483	1	k79_68410
289	0.02	0.23	normal	2480	1	k79_27149
290	None	None	loner	2474	1	k79_10972
291	None	None	loner	2471	1	k79_17395
292	None	None	loner	2462	1	k79_52028
293	0.02	0.27	normal	2456	1	k79_72418
294	None	None	loner	2451	1	k79_41175
295	0.06	None	fallback	8176	4	k79_89316
296	0.02	0.22	normal	2438	1	k79_27564
297	0.06	None	fallback	15040	9	k79_90100
298	None	None	loner	2431	1	k79_96021
299	None	None	loner	2430	1	k79_34561
300	None	None	loner	2425	1	k79_71575
301	None	None	loner	2424	1	k79_55383
302	0.06	None	fallback	16590	10	k79_87572
303	None	None	loner	2420	1	k79_7662
304	None	None	loner	2419	1	k79_37778
305	None	None	loner	2416	1	k79_11950
306	None	None	loner	2411	1	k79_84588
307	None	None	loner	2410	1	k79_49122
308	None	None	loner	2410	1	k79_96812
309	None	None	loner	2407	1	k79_96816
310	None	None	loner	2398	1	k79_64703
311	None	None	loner	2397	1	k79_34262
312	None	None	loner	2396	1	k79_94263
313	0.06	None	fallback	12027	7	k79_94488
314	None	None	loner	2393	1	k79_32021
315	None	None	loner	2391	1	k79_3385
316	None	None	loner	2388	1	k79_92351
317	0.06	None	fallback	9191	7	k79_62647
318	0.02	0.4	normal	2383	1	k79_34495
319	None	None	loner	2373	1	k79_73117
320	None	None	loner	2372	1	k79_11254
321	0.02	0.19	normal	2371	1	k79_16679
322	None	None	loner	2368	1	k79_62529
323	None	None	loner	2363	1	k79_46611
324	None	None	loner	2359	1	k79_60543
325	None	None	loner	2358	1	k79_26629
326	None	None	loner	2355	1	k79_48381
327	0.02	0.21	normal	2353	1	k79_33066
328	None	None	loner	2352	1	k79_52449
329	0.06	None	fallback	43287	35	k79_66644
330	None	None	loner	2348	1	k79_44298
331	None	None	loner	2338	1	k79_3229
332	None	None	loner	2336	1	k79_31253
333	None	None	loner	2330	1	k79_23874
334	0.06	None	fallback	7403	4	k79_20912
335	None	None	loner	2321	1	k79_50119
336	0.02	0.2	normal	2320	1	k79_80784
337	0.055	0.09	normal	3828	2	k79_96007
338	None	None	loner	2317	1	k79_19639
339	None	None	loner	2313	1	k79_84212
340	None	None	loner	2311	1	k79_40141
341	0.025	0.12	normal	2310	1	k79_39978
342	None	None	loner	2296	1	k79_53853
343	None	None	loner	2293	1	k79_85209
344	None	None	loner	2292	1	k79_91559
345	None	None	loner	2289	1	k79_46485
346	0.02	0.23	normal	2281	1	k79_14827
347	None	None	loner	2277	1	k79_65152
348	0.02	0.37	normal	2273	1	k79_58018
349	0.05	0.01	normal	3335	2	k79_5857
350	0.02	0.22	normal	2265	1	k79_42710
351	None	None	loner	2260	1	k79_20158
352	None	None	loner	2251	1	k79_86582
353	None	None	loner	2250	1	k79_1311
354	None	None	loner	2248	1	k79_80088
355	None	None	loner	2246	1	k79_70284
356	0.02	0.23	normal	2246	1	k79_62387
357	None	None	loner	2235	1	k79_46969
358	None	None	loner	2234	1	k79_19867
359	None	None	loner	2231	1	k79_28364
360	0.06	None	fallback	9859	6	k79_3756
361	0.02	0.34	normal	2228	1	k79_60546
362	None	None	loner	2227	1	k79_30414
363	None	None	loner	2223	1	k79_8313
364	0.02	0.39	normal	2222	1	k79_42505
365	None	None	loner	2220	1	k79_78270
366	None	None	loner	2219	1	k79_14210
367	0.02	0.38	normal	4243	1	k79_86184
368	None	None	loner	2217	1	k79_69567
369	None	None	loner	2217	1	k79_41629
370	None	None	loner	2211	1	k79_23027
371	None	None	loner	2201	1	k79_43737
372	None	None	loner	2200	1	k79_20807
373	0.02	0.21	normal	2200	1	k79_28279
374	0.025	0.14	normal	2196	1	k79_817
375	0.05	0.0	normal	3794	2	k79_80559
376	None	None	loner	2193	1	k79_63034
377	None	None	loner	2191	1	k79_19886
378	0.02	0.32	normal	2218	1	k79_85310
379	0.02	0.24	normal	2191	1	k79_56697
380	0.02	0.18	normal	2185	1	k79_11327
381	None	None	loner	2180	1	k79_73224
382	0.025	0.12	normal	2176	1	k79_59359
383	None	None	loner	2168	1	k79_70202
384	0.06	None	fallback	11723	9	k79_78351
385	None	None	loner	2155	1	k79_37426
386	0.02	0.21	normal	2152	1	k79_33411
387	None	None	loner	2150	1	k79_70887
388	None	None	loner	2149	1	k79_78081
389	0.02	0.3	normal	2149	1	k79_69806
390	None	None	loner	2136	1	k79_80554
391	0.06	None	fallback	5396	3	k79_64969
392	None	None	loner	2130	1	k79_72969
393	0.025	0.15	normal	2130	1	k79_87877
394	None	None	loner	2123	1	k79_68923
395	0.02	0.25	normal	2123	1	k79_21373
396	0.06	0.34	normal	6453	4	k79_15697
397	None	None	loner	2111	1	k79_85035
398	0.05	0.18	normal	6347	4	k79_97307
399	None	None	loner	2106	1	k79_10272
400	0.045	0.42	normal	5342	3	k79_53122
401	None	None	loner	2104	1	k79_46249
402	None	None	loner	2104	1	k79_90099
403	None	None	loner	2104	1	k79_18811
404	None	None	loner	2103	1	k79_67872
405	None	None	loner	2099	1	k79_53244
406	None	None	loner	2092	1	k79_44047
407	None	None	loner	2086	1	k79_57210
408	None	None	loner	2085	1	k79_87295
409	None	None	loner	2082	1	k79_41457
410	None	None	loner	2082	1	k79_82945
411	None	None	loner	2081	1	k79_50268
412	None	None	loner	2080	1	k79_76725
413	None	None	loner	2080	1	k79_84281
414	None	None	loner	2077	1	k79_11454
415	None	None	loner	2076	1	k79_53397
416	None	None	loner	2067	1	k79_96162
417	None	None	loner	2067	1	k79_80162
418	None	None	loner	2064	1	k79_70079
419	0.06	None	fallback	7340	5	k79_75231
420	0.04	0.31	normal	3410	2	k79_61259
421	None	None	loner	2057	1	k79_75914
422	None	None	loner	2053	1	k79_57759
423	None	None	loner	2050	1	k79_39500
424	0.06	None	fallback	9933	8	k79_17190
425	0.06	None	fallback	8636	5	k79_16107
426	0.02	0.26	normal	2035	1	k79_33857
427	None	None	loner	2034	1	k79_12997
428	None	None	loner	2033	1	k79_40019
429	None	None	loner	2033	1	k79_68907
430	None	None	loner	2032	1	k79_96860
431	None	None	loner	2032	1	k79_33569
432	None	None	loner	2031	1	k79_26260
433	None	None	loner	2030	1	k79_58593
434	0.02	0.27	normal	2030	1	k79_71632
435	None	None	loner	2030	1	k79_61956
436	None	None	loner	2029	1	k79_88044
437	0.06	None	fallback	9979	7	k79_77647
438	0.025	0.13	normal	2024	1	k79_39400
439	None	None	loner	2020	1	k79_34039
440	None	None	loner	2018	1	k79_70813
441	None	None	loner	2017	1	k79_50785
442	None	None	loner	2016	1	k79_7686
443	None	None	loner	2016	1	k79_31511
444	None	None	loner	2015	1	k79_78897
445	0.02	0.35	normal	2013	1	k79_67642
446	None	None	loner	2010	1	k79_47597
447	0.06	None	fallback	9960	6	k79_24269
448	None	None	loner	2002	1	k79_18431
449	None	None	loner	1999	1	k79_80819
450	None	None	loner	1996	1	k79_74892
451	None	None	loner	1994	1	k79_38897
452	None	None	loner	1992	1	k79_757
453	None	None	loner	1986	1	k79_20255
454	None	None	loner	1985	1	k79_60593
455	None	None	loner	1984	1	k79_69198
456	0.04	0.04	normal	3884	2	k79_3149
457	None	None	loner	1982	1	k79_25942
458	None	None	loner	1980	1	k79_75700
459	None	None	loner	1980	1	k79_48613
460	None	None	loner	1977	1	k79_87081
461	0.055	0.35	normal	5985	4	k79_45045
462	None	None	loner	1973	1	k79_8320
463	0.06	None	fallback	9716	6	k79_47142
464	None	None	loner	1968	1	k79_9966
465	0.02	0.28	normal	1966	1	k79_97391
466	None	None	loner	1965	1	k79_33572
467	None	None	loner	1962	1	k79_41822
468	None	None	loner	1959	1	k79_4382
469	None	None	loner	1955	1	k79_20059
470	None	None	loner	1954	1	k79_8064
471	None	None	loner	1949	1	k79_94997
472	None	None	loner	1944	1	k79_17133
473	0.06	None	fallback	14619	10	k79_64896
474	None	None	loner	1938	1	k79_35803
475	None	None	loner	1935	1	k79_37797
476	None	None	loner	1932	1	k79_15787
477	None	None	loner	1931	1	k79_16053
478	0.025	0.16	normal	1930	1	k79_42873
479	None	None	loner	1929	1	k79_53462
480	None	None	loner	1928	1	k79_51844
481	None	None	loner	1927	1	k79_85388
482	0.02	0.21	normal	1926	1	k79_36293
483	None	None	loner	1926	1	k79_8058
484	None	None	loner	1925	1	k79_20593
485	0.06	None	fallback	16722	14	k79_52392
486	0.02	0.36	normal	1916	1	k79_46723
487	None	None	loner	1912	1	k79_38902
488	0.02	0.47	normal	4278	1	k79_83801
489	None	None	loner	1907	1	k79_97143
490	None	None	loner	1907	1	k79_82987
491	0.09	0.26	normal	35865	29	k79_59725
492	None	None	loner	1904	1	k79_46095
493	None	None	loner	1903	1	k79_64434
494	None	None	loner	1896	1	k79_42471
495	None	None	loner	1895	1	k79_5985
496	None	None	loner	1891	1	k79_93354
497	None	None	loner	1890	1	k79_74376
498	None	None	loner	1889	1	k79_58878
499	None	None	loner	1888	1	k79_63436
500	None	None	loner	1878	1	k79_78858
501	None	None	loner	1878	1	k79_50173
502	None	None	loner	1870	1	k79_95280
503	None	None	loner	1870	1	k79_8302
504	0.02	0.24	normal	1869	1	k79_86773
505	None	None	loner	1866	1	k79_90930
506	None	None	loner	1866	1	k79_5774
507	0.025	0.18	normal	1865	1	k79_80123
508	None	None	loner	1864	1	k79_94917
509	None	None	loner	1863	1	k79_94515
510	None	None	loner	1862	1	k79_65151
511	0.025	0.15	normal	1861	1	k79_78427
512	None	None	loner	1860	1	k79_15446
513	0.06	0.05	normal	4114	3	k79_65042
514	None	None	loner	1850	1	k79_40681
515	None	None	loner	1848	1	k79_65409
516	None	None	loner	1847	1	k79_58711
517	0.02	0.24	normal	1846	1	k79_33242
518	0.02	0.39	normal	1846	1	k79_12650
519	None	None	loner	1846	1	k79_67097
520	None	None	loner	1845	1	k79_84122
521	None	None	loner	1845	1	k79_80761
522	0.02	0.23	normal	1842	1	k79_17112
523	None	None	loner	1842	1	k79_15126
524	None	None	loner	1839	1	k79_46782
525	None	None	loner	1838	1	k79_72281
526	None	None	loner	1835	1	k79_46807
527	None	None	loner	1830	1	k79_15311
528	None	None	loner	1828	1	k79_2216
529	None	None	loner	1827	1	k79_62706
530	None	None	loner	1825	1	k79_5674
531	None	None	loner	1823	1	k79_30654
532	None	None	loner	1822	1	k79_5705
533	None	None	loner	1818	1	k79_52885
534	0.06	None	fallback	34737	30	k79_63965
535	None	None	loner	1817	1	k79_10422
536	None	None	loner	1816	1	k79_39331
537	None	None	loner	1814	1	k79_3455
538	None	None	loner	1813	1	k79_55803
539	None	None	loner	1812	1	k79_61851
540	None	None	loner	1805	1	k79_30052
541	None	None	loner	1805	1	k79_77240
542	0.06	None	fallback	8778	6	k79_6537
543	0.02	0.44	normal	1802	1	k79_2304
544	None	None	loner	1797	1	k79_31036
545	None	None	loner	1797	1	k79_18334
546	None	None	loner	1797	1	k79_21588
547	0.06	None	fallback	5887	4	k79_39555
548	None	None	loner	1793	1	k79_82843
549	0.06	None	fallback	7653	6	k79_68295
550	None	None	loner	1793	1	k79_24342
551	None	None	loner	1790	1	k79_72195
552	None	None	loner	1787	1	k79_34924
553	None	None	loner	1785	1	k79_18902
554	0.025	0.12	normal	1784	1	k79_40191
555	None	None	loner	1784	1	k79_62437
556	0.055	0.37	normal	5258	4	k79_65471
557	None	None	loner	1780	1	k79_81769
558	0.055	0.17	normal	5189	4	k79_64903
559	None	None	loner	1774	1	k79_90199
560	0.02	0.23	normal	1773	1	k79_24977
561	None	None	loner	1771	1	k79_2215
562	None	None	loner	1770	1	k79_60458
563	None	None	loner	1768	1	k79_59629
564	0.02	0.25	normal	1762	1	k79_83181
565	None	None	loner	1759	1	k79_16060
566	None	None	loner	1758	1	k79_13464
567	None	None	loner	1758	1	k79_14622
568	None	None	loner	1756	1	k79_18170
569	None	None	loner	1749	1	k79_53218
570	None	None	loner	1749	1	k79_93122
571	0.02	0.35	normal	1749	1	k79_4917
572	None	None	loner	1748	1	k79_10328
573	0.06	None	fallback	5617	4	k79_24198
574	None	None	loner	1746	1	k79_51694
575	None	None	loner	1742	1	k79_71540
576	0.06	None	fallback	9061	7	k79_11956
577	None	None	loner	1740	1	k79_15679
578	None	None	loner	1739	1	k79_86435
579	None	None	loner	1738	1	k79_43882
580	0.06	None	fallback	8736	6	k79_68178
581	None	None	loner	1735	1	k79_63854
582	None	None	loner	1735	1	k79_17429
583	None	None	loner	1734	1	k79_40662
584	None	None	loner	1734	1	k79_34766
585	None	None	loner	1734	1	k79_66290
586	None	None	loner	1734	1	k79_8334
587	0.045	0.36	normal	3040	2	k79_54851
588	None	None	loner	1730	1	k79_33592
589	None	None	loner	1730	1	k79_21571
590	None	None	loner	1729	1	k79_85665
591	None	None	loner	1729	1	k79_55697
592	0.02	0.34	normal	1724	1	k79_39314
593	None	None	loner	1723	1	k79_3366
594	None	None	loner	1722	1	k79_54181
595	0.06	None	fallback	7594	5	k79_33490
596	0.06	None	fallback	5850	4	k79_43585
597	0.06	None	fallback	2914	2	k79_15970
598	0.025	0.16	normal	1718	1	k79_80221
599	None	None	loner	1718	1	k79_62836
600	None	None	loner	1715	1	k79_45201
601	None	None	loner	1714	1	k79_38078
602	None	None	loner	1712	1	k79_5711
603	None	None	loner	1712	1	k79_43103
604	None	None	loner	1710	1	k79_95252
605	None	None	loner	1709	1	k79_49207
606	None	None	loner	1708	1	k79_88690
607	None	None	loner	1705	1	k79_16790
608	None	None	loner	1705	1	k79_91703
609	None	None	loner	1705	1	k79_23448
610	None	None	loner	1705	1	k79_48950
611	0.02	0.23	normal	1704	1	k79_58141
612	None	None	loner	1704	1	k79_17119
613	None	None	loner	1702	1	k79_6241
614	None	None	loner	1701	1	k79_71168
615	None	None	loner	1700	1	k79_55333
616	None	None	loner	1696	1	k79_18111
617	None	None	loner	1696	1	k79_80205
618	0.025	0.16	normal	1694	1	k79_85899
619	0.05	0.13	normal	3392	3	k79_26563
620	None	None	loner	1692	1	k79_95807
621	None	None	loner	1691	1	k79_81645
622	0.025	0.17	normal	1690	1	k79_42232
623	None	None	loner	1690	1	k79_31771
624	None	None	loner	1689	1	k79_26138
625	None	None	loner	1687	1	k79_65176
626	0.06	None	fallback	10079	8	k79_82461
627	None	None	loner	1686	1	k79_81991
628	0.06	None	fallback	7785	6	k79_56081
629	None	None	loner	1685	1	k79_77728
630	0.065	0.44	normal	7473	5	k79_10951
631	None	None	loner	1682	1	k79_29802
632	0.02	0.4	normal	1633	1	k79_25952
633	None	None	loner	1680	1	k79_88637
634	None	None	loner	1679	1	k79_69563
635	None	None	loner	1678	1	k79_14414
636	None	None	loner	1677	1	k79_96563
637	None	None	loner	1671	1	k79_79596
638	None	None	loner	1671	1	k79_71490
639	None	None	loner	1670	1	k79_76264
640	0.02	0.42	normal	1669	1	k79_43627
641	None	None	loner	1666	1	k79_6504
642	None	None	loner	1665	1	k79_11176
643	None	None	loner	1663	1	k79_41003
644	None	None	loner	1663	1	k79_63214
645	None	None	loner	1663	1	k79_82171
646	None	None	loner	1661	1	k79_76343
647	None	None	loner	1660	1	k79_14158
648	None	None	loner	1659	1	k79_82736
649	None	None	loner	1659	1	k79_4416
650	None	None	loner	1659	1	k79_33914
651	None	None	loner	1656	1	k79_91667
