contigs	predictions
k79_34	2;1239;186801;3085636;186803;841;166486;718255
k79_24128	2;1239;186801;3085636;186803;33042;410072
k79_84404	2;976;200643;171549;171550;239759;626932
k79_35	
k79_84405	2;976;200643;171549;815;816;28111
k79_38	2;1239;186801;3085636;186803;2316020;46228;471875
k79_84406	2;1239;186801;3085636;186803;2316020;33039
k79_48254	2;976;200643;171549;171550;239759;2585119
k79_84407	2;976;200643;171549;2005525;375288;46503
k79_12069	2;976;200643;171549;815;909656;821
k79_72330	2;976;200643;171549;815;816;820;997890
k79_39	2;976;200643;171549;815;816
k79_84408	
k79_84409	2;1239;186801;3085636;186803;2316020;33039
k79_84410	2;1239;526524;526525;2810280;2678885;1982626
k79_12070	2;1239;186801;3085636;186803;33042;410072
k79_12071	2;1239;186801;3085636;186803;2316020;33039;657313
k79_84411	2;1239;186801;186802;216572;2892397;2714358
k79_72331	2;976;200643;171549;171550;239759;538949
k79_48255	2;1239;186801;3085636;186803;33042;410072
k79_84412	2;1224;1236;91347;1903411;613
k79_72332	
k79_12072	2;57723;204432;204433;204434;392733;1592106
k79_48256	2;1239;186801;186802;216572;216851;2646395
k79_84413	2;976;200643;171549;1853231;283168;28118
k79_12073	
k79_72333	2;1239;186801;3085636;186803;189330;39486
k79_24129	2;1239;186801;3085636;186803;3342669;45851
k79_48257	2;976;200643;171549;815;909656;821
k79_84414	2;1239;186801;3085636;186803;2316020;33039
k79_12074	2;976;200643;171549;171550;239759;2585118
k79_72334	2;201174;1760;85004;31953;1678;1686
k79_24130	2;976;200643;171549;2005525;375288;46503
k79_48258	2;1239;186801;186802;216572;946234;292800
k79_72335	
k79_24131	2;976;200643;171549;815;909656;821
k79_12075	
k79_84415	2;976;200643;171549;2005525;375288;46503
k79_24132	2;976;200643;171549;2005525;375288
k79_40	2;1239;186801;3085636;186803;33042;410072
k79_84416	2;1239;186801;186802;216572;216851;411483
k79_24133	
k79_48259	2;1239;186801;3085636;186803;33042;410072
k79_24134	2;1239;186801;3085636;186803;207244;649756
k79_41	2;1239;186801;3085636;186803;2569097;39488
k79_42	2;1239;186801;3085636;186803;1766253;39491;657317
k79_36193	2;1239;186801;3085636;186803;572511;418240;1121115
k79_48260	2;1239;186801;186802;216572;216851;853
k79_84417	2;976;200643;171549;2005525;375288
k79_36194	2;1783272
k79_84418	
k79_12076	
k79_43	2;1239;186801;186802;216572;216851;853;718252
k79_36195	2;1239;186801;3085636;186803;572511;40520;411459
k79_48261	
k79_72336	2;1239;186801;3085636;186803;1766253;39491;657318
k79_45	
k79_72337	2;976;200643;171549;815;909656;821
k79_48262	
k79_84419	
k79_12077	2;976;200643;171549;2005525;375288;823
k79_46	2;1239;186801;3085636;186803;207244;649756
k79_48263	2;976;200643;171549
k79_12078	
k79_47	2;1239;186801;3085636;186803
k79_84420	2;1239;186801;3085636;186803;1766253;39491
k79_48	
k79_48264	2;1239;186801;3085636;186803;189330;88431
k79_12079	
k79_24135	2;1239;186801;3085636;186803;2316020;46228;471875
k79_49	2;1239;186801;3085636;186803;572511
k79_84421	2;976;200643;171549;815;816;28111
k79_50	
k79_84422	2;976;200643;171549;815;816;47678
k79_84423	2;976;200643;171549;2005525;375288
k79_72338	2;1239;186801;3085636;186803;33042;410072
k79_48265	2;1239;186801;3085636;186803;207244;649756
k79_84424	2;1239;186801;3085636;186803;572511;40520;411459
k79_72339	2;201174;1760;85004;31953;1678;1686
k79_48266	
k79_84425	2;976;200643;171549;815;816;28111
k79_48267	2;201174;1760;85004;31953;1678;1686
k79_48268	
k79_12080	
k79_72340	2;1239;186801;186802;216572;216851;2929495
k79_12081	2;1239;186801;186802;216572;216851;853
k79_84426	2;1239;909932;1843488;909930;33024;33025
k79_84427	
k79_51	2;976;200643;171549;171550;239759;328813
k79_48269	2;1239;186801;3085636;186803;2569097;39488
k79_48270	
k79_52	2;1239;186801;3085636;186803;189330;39486
k79_72341	2;1239;186801;3085636;186803;572511;2479767
k79_48271	
k79_60292	2;976;200643;171549;815;909656;387090
k79_53	
k79_72342	
k79_60293	2;1239;186801;3085636;186803;189330;88431
k79_84428	2;1239;186801
k79_60294	2;201174;1760;85004;31953;1678;1680
k79_84429	2;1239;186801;3085636;186803;2316020;33039
k79_60295	2157;28890;183925;2158;2159;2172;2173
k79_60296	2;201174;1760;85004;31953;1678;1680
k79_54	2;1239;909932;1843488;909930;33024;33025
k79_60297	2
k79_84430	2;1239;186801;3085636;186803;2719313;208479
k79_55	2;1239;186801;3085636;186803;572511
k79_56	2;1239;186801;3085636;186803;2316020;46228;471875
k79_60298	
k79_48272	
k79_57	
k79_60299	
k79_36196	2;1224;1236;135622;267893;135575;1874361
k79_36197	2;1239;186801;3085636;186803;207244;649756
k79_12082	2;1239;186801;3085636;186803;572511;418240;1121115
k79_60300	2;1239;186801;3085636;186803;207244;649756
k79_48273	2;1239;526524;526525;2810280;2678885;1982626
k79_48274	2;976;200643;171549;815;909656;821
k79_58	2;1239;186801;186802;216572;216851;2929493
k79_48275	2;976;200643;171549;815;816;371601;657309
k79_12083	2;1239;186801;3085636;186803;189330;39486
k79_36198	2;1239;186801;186802;216572;1263;657323
k79_12084	2;1239;186801;3085636;186803;189330;88431
k79_84431	2;1239;186801;3085636;186803;189330;88431
k79_36199	2;976;200643;171549;815;816;28111
k79_84432	
k79_48276	2;1239;91061;1385;186817;1386;293387
k79_36200	2;1239;186801
k79_84433	2;1239;186801;3085636;186803;207244;649756
k79_36201	2;976;200643;171549;815;816;28111
k79_12085	
k79_84434	2;1239;186801;186802;216572;216851;2929495
k79_36202	
k79_84435	2;976;200643;171549;815;816;28111
k79_36203	
k79_48277	2;1239;186801;3085636;186803;1766253;39491;657318
k79_60301	2;976;200643;171549;2005525;375288;823
k79_84436	
k79_48278	2;1239;186801;3085636;186803
k79_59	2;1239;186801;3085636;186803;207244;649756
k79_60302	2;1239;186801;3085636;186803;1766253;39491;657317
k79_48279	
k79_60303	
k79_84437	2;976;117743;200644;49546;52959;218490
k79_48280	2;1239;186801;3085636;186803;2569097;39488
k79_12086	2;1239;186801;186802;216572;216851;853
k79_84438	2;976;200643;171549;815;909656;821
k79_36204	2;1239;91061;1385;186817;45667;1570
k79_61	2;1239;186801;3085636;186803;572511;418240;1121115
k79_60304	2;976;200643;171549;815;909656;821
k79_12087	
k79_36205	2;1239;909932;1843488;909930;33024;33025
k79_48281	2;201174;84998;1643822;1643826;447020;2707299
k79_36206	
k79_62	
k79_36207	
k79_48282	2;1239;186801;3085636;186803;1766253;39491;657318
k79_84439	2;1239;186801;3085636;186803;2316020;33039;657313
k79_48283	
k79_12088	2;1239;909932;1843488;909930;33024;33025
k79_84440	
k79_84441	2;976;200643;171549;815;909656;821
k79_48284	2;976;200643;171549;815;909656;821
k79_48285	2;976;200643;171549;171550;239759;2662363
k79_24136	2;976;200643;171549;815;816;820
k79_48286	2;976;200643;171549;815;909656;821
k79_84442	2;976;200643;171549;815;909656;821
k79_24137	2;201174;1760;85004;31953;1678;1680
k79_12089	2;976;200643;171549;171550;239759;328813
k79_24139	2;976;200643;171549;2005525;375288;46503
k79_36208	2;1239;909932;1843488;909930;33024;33025
k79_12090	2;1239;186801;186802;216572;2892396;2714355
k79_36209	2;1239;186801;3085636;186803;572511;40520;657314
k79_84443	2;976;200643;171549;2005525;375288;823
k79_63	2;1239;186801;3085636;186803;1766253;39491;657318
k79_60306	2;1239;186801;3085636;186803;207244;649756;649757
k79_24140	2;976;768503;768507
k79_12091	
k79_24141	2;1239;186801;3085636;186803;2316020;33038
k79_48287	2;1239;186801;186802;216572;1263;657323
k79_64	2;1239;186801;3085636;186803;572511;40520;411459
k79_12092	2;1239;186801;3085636;186803;1506553;29347
k79_24142	2;1239;909932;1843488;909930;33024;33025
k79_24143	2;1239;186801;3085636;186803;207244;649756;649757
k79_12093	2;1239;186801;186802;216572;216851;853;718252
k79_24144	2;74201;203494;48461;1647988;239934;239935
k79_12094	2;201174;1760;85004;31953;1678;1686
k79_24145	
k79_12095	
k79_24146	2;1239;186801;186802;216572;1263;1160721
k79_84444	
k79_36210	2;1224;28211;3120395;433;434;438
k79_65	2;1239;186801;186802;216572;1263;1160721
k79_36211	2;1239;526524;526525;2810280;2678885;1982626
k79_12096	2;976;200643;171549;2005525;375288;823
k79_24147	2;976;200643;171549;2005525;375288;46503
k79_36212	
k79_24148	
k79_66	
k79_84445	2;1239;909932;1843488;909930;33024;33025
k79_48288	2;1239;186801;3085636;186803;572511;2479767
k79_84446	2;1239;186801;186802;216572;216851
k79_24149	2;1239;186801;3085636;186803;2316020;33039;657313
k79_48289	2;976;200643;171549;171550;239759;214856;679935
k79_24150	2;201174;1760;85004;31953;1678;1680
k79_48290	2;1239;186801;3085636;186803;2569097;39488
k79_84447	2;1239;186801;3085636;186803
k79_24151	2;976;200643;171549;815;909656;821
k79_84448	
k79_48291	
k79_67	2;1239;186801;3085636;186803;2316020;46228;471875
k79_48292	2;1783272
k79_68	2;201174;1760;85004;31953;1678;1680
k79_48293	2;201174;84998;1643822;1643826;447020;2707299
k79_84449	2;1239;526524;526525;2810280;2678885;1982626
k79_60307	2;1239;186801;3085636;186803;189330;88431
k79_36213	2;1239;186801;3085636;186803;2316020;46228;471875
k79_69	
k79_48294	
k79_36214	2;1239;186801;3085636;186803;572511;53443;476272
k79_24152	2;1239;186801;3085636;186803;189330;39486
k79_36215	2;1239;186801;3085636;186803;572511;40520;411459
k79_48295	2;201174;1760;85004;31953;1678;1680
k79_12097	2;1239;186801;3085636;186803;2569097;39488
k79_60308	2;1239;186801;186802;216572;2892396;2714355
k79_36216	2;1239;186801;3085636;186803;189330;39486
k79_48296	
k79_60309	2;976;200643;171549;2005525;375288
k79_70	2;976;200643;171549;2005525;375288;46503
k79_71	2;976;200643;171549;2005525;375288
k79_60310	
k79_48297	
k79_48298	
k79_12098	2;976;200643;171549;815;816;28116
k79_36217	2;1239;186801;3085636;186803;2316020;33039;657313
k79_12099	
k79_72	2;976;200643;171549;815;909656;821
k79_12100	2;1239;186801;3085636;186803;2316020;33039;657313
k79_73	2;1239;186801;186802;216572;216851;2929490
k79_24153	2;1239;186801;3085636;186803;572511;2479767
k79_84450	2;1239;186801;3085636;186803;189330;88431
k79_12101	
k79_24154	2;1239;186801;3085636;186803;1766253;39491;657318
k79_84451	2;1239;526524;526525;2810280;2678885;1982626
k79_74	2;1239;186801;3085636;186803;2569097;39488
k79_36218	2;1239;186801;186802;216572;2892396;2714355
k79_12102	2;1239;186801;3085636;186803;189330;39486
k79_24155	
k79_84452	2;976;200643;171549;2005525;375288;823
k79_12103	2;1239;909932;1843488;909930;33024;33025
k79_36219	2;201174;1760;85004;31953;1678
k79_84453	
k79_48299	2;1239;526524;526525;2810280;2678885;1982626
k79_84454	2;1239;186801;3085636;186803;841;1261635
k79_75	2;1239;186801;3085636;186803;189330;88431
k79_12104	2;201174;1760;85007;1653;1716
k79_60311	2;1239;186801;3085636;186803;2569097;39488
k79_48300	2;1239;909932;1843488;909930;33024;33025
k79_36220	2
k79_60312	2;976;200643;171549;2005525;375288;46503
k79_84455	2;976;200643;171549;1853231;283168;28118
k79_24156	2157;28890;183925;2158;2159;2172;2173
k79_60313	
k79_76	
k79_12105	2;1239
k79_84456	2;1239;186801
k79_77	
k79_60314	2;1239;186801;3085636;186803;189330;88431
k79_24157	2;1239;186801;186802;186806;1730;39496
k79_36221	2;1239;186801;3085636;186803;2316020;33039
k79_84457	
k79_36222	2;1239;186801;186802;216572;216851;2929490
k79_84458	2;1239;186801;186802;216572;2892396;2714355
k79_36223	2;976;200643;171549;815;816;28111
k79_84459	2;976;200643;171549;815;816;817
k79_12106	
k79_24158	2;1239;186801;3085636;186803;207244;649756
k79_12107	2;1239;186801;186802;216572;216851
k79_36224	2;1239;186801;186802;216572;216851;411483
k79_48301	2;201174;1760;85009;85015;2044;2045
k79_12108	
k79_36225	2;1239;186801;3085636;186803;572511
k79_48302	
k79_24159	
k79_36226	2;1239;186801;3085636;186803;189330;88431
k79_12109	2;1239;186801;3085636;186803;2316020;33039;657313
k79_36227	2;1239;186801;3085636;186803;2569097;39488
k79_24160	
k79_36228	
k79_48303	
k79_12110	2;1239;186801;3085636;186803
k79_84460	
k79_48304	2;976;200643;171549;815;909656;387090
k79_12111	
k79_84461	2;976;200643;171549;815;816;2847299
k79_24161	2;74201;203494;48461;1647988;239934;239935
k79_36229	2;976;200643;171549;815;909656;821
k79_84462	2;976;768503;768507;1853232;89966;2761579
k79_12112	
k79_36230	2;1239;186801;3085636;186803;189330;39486
k79_12113	2;201174;84998;1643822;1643826;447020;446660;1384484
k79_60315	2;1239;186801;3085636;186803;33042;116085
k79_12114	2;1239;186801;3085636;186803;2569097;39488
k79_48305	
k79_84463	
k79_24162	2;1239;186801;3085636;186803;33042;410072
k79_12115	2;1239;186801;3085636;186803;572511;40520;657314
k79_48306	2;1239;186801;3085636;186803;572511;89014
k79_84464	2;1239;186801;186802;216572;1263;1160721
k79_24163	2;1239;186801;3085636;186803;572511;2479767
k79_12116	
k79_60316	2;1224;1236;72273;135617;1030
k79_12117	
k79_12118	2;1239;186801;3085636;186803;189330;88431
k79_12119	
k79_60317	2;976;200643;171549;815;816;28111
k79_36231	2;1239;909932;1843488;909930;33024;33025
k79_78	2;1239;909932;1843488;909930;33024;33025
k79_60318	2;1239;526524;526525;2810280;2678885;1982626
k79_12120	2;201174;84998;1643822;1643826;447020;2707299
k79_36232	2;1239;909932;1843488;909930;33024
k79_84465	2;1239;909932;1843488;909930;33024;33025
k79_79	2;1239;186801;3085636;186803
k79_24164	2;1239;186801;3085636;186803;1766253;39491;657318
k79_60319	2;976;200643;171549;171550;239759;2585119
k79_12121	2;1239;186801;186802;216572
k79_84466	
k79_80	2;976;200643;171549;815;909656;821
k79_60320	
k79_84467	
k79_24165	
k79_81	2;1239;186801
k79_60321	2;1239;186801;3085636;186803;207244;649756
k79_84468	2;1239;186801;186802;216572;2892396;2714353
k79_24166	
k79_24167	2;1239;526524;526525;2810280;135858;2478954
k79_60322	
k79_60323	
k79_82	
k79_36233	2;976;200643;171549;2005525;375288;823
k79_24168	2;1239;186801;3085636;186803;33042;410072
k79_60324	
k79_84469	2;976;200643;171549;815;909656;821
k79_84470	2;1239;186801;186802;216572;216851;2929490
k79_84471	2;976;200643;171549;815
k79_36234	2;1239;186801;3085636;186803;207244;649756
k79_60325	2;201174;1760;85004;31953;1678;1680
k79_12122	2;976;200643;171549;171552;2974251;165179
k79_84472	
k79_84473	2;1239;186801;3085636;186803;189330;88431
k79_12123	2;201174;1760;85004;31953;1678;1680
k79_48307	2;201174;1760;85008;28056;1873;1420889
k79_84474	
k79_60326	2;201174;1760;85004;31953;1678;1686;630129
k79_48308	
k79_48309	2;1239;186801;3085636;186803;572511;40520;411459
k79_60327	2;1239;186801;3085636;186803;207244;649756
k79_12124	
k79_36235	2;1239;186801;186802
k79_12125	2;1239;186801;186802;216572;216851;853
k79_36236	2;1239;186801;186802;186806;1730;39496
k79_60328	2;976;200643;171549;815;909656;821
k79_72343	2;976;200643;171549;815;816;820;997890
k79_24169	
k79_12126	
k79_48310	2;1239;186801;3085636;186803;572511
k79_72344	
k79_48311	2;976;200643;171549;815;909656;821
k79_24170	2;1239;186801;3085636;186803;1766253;39491
k79_72345	2;1239;186801;3085636;186803;2944198;2763667
k79_36237	2;976;200643;171549;815;816;28111
k79_24171	2;1239;186801;3085636;186803;33042;410072
k79_60329	2;203691;203692;136;137;146;46355;889378
k79_24172	2;976;200643;171549;2005525;375288
k79_12127	2;1239;186801;3085636;186803;572511;418240;1121115
k79_84476	2;1239;186801;3085636;186803;1766253;39491;657317
k79_12128	
k79_84477	
k79_36238	
k79_12129	2;74201;203494;48461;1647988;239934;239935
k79_84478	
k79_72346	2;1239;186801;3085636;186803;2316020;33039
k79_72347	
k79_36239	2;976;200643;171549;815;816;28111
k79_72348	2;1239;186801;186802;216572;1263;1160721
k79_24173	2;976;200643;171549;815;816
k79_72349	
k79_60330	2;1239;186801;3085636;186803;2569097;39488
k79_48312	2;1239;186801;3085636;186803;189330;88431
k79_36240	
k79_24174	2;1239;186801;3085636;186803;1766253;39491
k79_72350	
k79_24175	
k79_12130	
k79_48313	2;976;200643;171549;815;816;28111
k79_72351	2;976;200643;171549;815;909656;821
k79_12131	
k79_48314	2;1239;186801;3085636;186803;1506553;29347
k79_72352	
k79_36241	2;201174;1760;85007;1653;1716;598660
k79_48315	2;1239;186801;3085636;186803;2316020;46228;471875
k79_12132	2;1239;186801;186802;216572;292632;214851
k79_36242	
k79_48316	2;1239;186801;3085636;186803;2316020;33039
k79_72353	2;976;200643;171549;2005525;375288
k79_36243	2;1239;186801;3085636;186803;189330;88431
k79_72354	2;1239;186801;3085636;186803;2569097;39488
k79_36244	2;1239;186801;3085636;186803;33042;410072
k79_36245	2;976;200643;171549;815;816;47678
k79_36246	2;1239;186801;3085636;186803;572511;2479767
k79_60331	2;74201;203494;48461;1647988;239934;239935
k79_36247	2;1224;1236;135625;712;713;254839
k79_48317	2;1239;91061;186826;1300;1301;1307;423211
k79_60332	2;1239;186801;3085636;186803;2316020;33039
k79_36248	
k79_48318	
k79_60333	2;976;200643;171549;2005525;375288;823
k79_48319	2;1239;186801;3085636;186803;572511;40520;657314
k79_48320	2;976;200643;171549;815;816;28111
k79_72355	2;1239;186801;3085636;186803;28050;39485
k79_12133	2157;28890;183925;2158;2159;2172;2173;420247
k79_48321	
k79_72356	2;1239;186801;3085636;186803;2316020;33039
k79_24176	2;1239;186801;3085636;186803;189330
k79_48322	
k79_84479	2;1239;186801;186802;216572;253238;253239
k79_12134	2;1239;186801;3085636;186803;1766253;39491;657318
k79_12135	2;976;200643;171549;815;816;28111
k79_60334	2;1239;186801;3085636;186803;1766253;39491;657318
k79_48323	
k79_72357	
k79_12136	2;1239;186801;3085636;186803;2316020;33039
k79_12137	2;1239;186801;3085636;186803;841;1261634
k79_60335	
k79_72358	2;1239;186801;186802;216572;2892396;2714355
k79_60336	
k79_72359	
k79_12138	
k79_60337	2;1239;186801;3085636;186803;189330;88431
k79_72360	2;976;200643;171549;2005525;375288
k79_84480	2;1239;186801;186802;216572;2892396;2714353
k79_72361	2;1239;186801;3085636;186803;2316020;33039
k79_84481	2;1239;186801;3085636;186803;189330;39486
k79_36249	2;1239;186801;3085636;186803;33042;410072
k79_36250	
k79_36251	2;976;200643;171549;2005525;375288;46503
k79_48324	2;976;200643;171549;2005525;375288;823
k79_60338	2;1239;186801;186802;216572;292632;214851
k79_36252	2;976;200643;171549;2005525;375288
k79_60339	2;1239;186801;3085636;186803;189330;88431
k79_60340	2;1239;186801;3085636;186803;2316020;33039;657313
k79_84482	2;1239;186801;3085636;186803;1766253;39491;657318
k79_60341	
k79_60342	2;1239;186801;186802;216572;216851
k79_36253	2;976;200643;171549;815;909656;821
k79_60343	2;1239;186801;3085636;186803;189330;88431
k79_72362	2;976;200643;171549;815;909656;821
k79_36254	
k79_60344	2;1239;186801;3085636;186803;2569097;39488
k79_36255	
k79_84483	2;201174;1760;85004;31953;1678;1680
k79_60345	2;976;200643;171549;815;909656;821
k79_24177	2;1239;186801;3085636;186803;189330;39486
k79_36256	
k79_12139	2;1239;186801;3085636;186803;572511;2479767
k79_84484	
k79_24178	
k79_36257	2;1239;186801;3085636;186803;1766253;39491
k79_24179	
k79_72363	
k79_24180	
k79_84485	
k79_24181	2;1239;186801;3085636;186803;572511;418240;1121115
k79_83	2;1239;186801;186802;216572;1263;2608920
k79_84486	2;201174;84998;1643822;1643826;447020;446660;1384484
k79_36258	2;1239;186801;3085636;186803;572511;2479767
k79_24182	
k79_12140	2;1239;91061;186826;1300;1301
k79_24183	2;1239;186801;3085636;186803;2316020;33039;657313
k79_84	
k79_84487	2;976;200643;171549;815;816
k79_85	2157;28890;183925;2158;2159;2172;2173
k79_48325	2;1239;186801;186802;216572;1905344;1550024
k79_86	2;976;200643;171549;815;816;28111
k79_48326	
