k79_709 flag=1 multi=12.0000 len=1328	ERR011347_MEGAHIT_TaxVamb.1000
k79_65689 flag=1 multi=5.0000 len=1310	ERR011347_MEGAHIT_TaxVamb.1020
k79_27589 flag=1 multi=10.0000 len=1308	ERR011347_MEGAHIT_TaxVamb.1021
k79_26175 flag=1 multi=5.0000 len=1308	ERR011347_MEGAHIT_TaxVamb.1022
k79_52932 flag=1 multi=8.0000 len=1245	ERR011347_MEGAHIT_TaxVamb.1023
k79_34261 flag=1 multi=10.0000 len=1308	ERR011347_MEGAHIT_TaxVamb.1023
k79_4310 flag=1 multi=8.0000 len=1272	ERR011347_MEGAHIT_TaxVamb.1023
k79_75291 flag=1 multi=6.0000 len=1308	ERR011347_MEGAHIT_TaxVamb.1024
k79_40444 flag=1 multi=8.0000 len=1305	ERR011347_MEGAHIT_TaxVamb.1025
k79_90372 flag=1 multi=12.0000 len=1304	ERR011347_MEGAHIT_TaxVamb.1026
k79_78562 flag=1 multi=10.0000 len=1303	ERR011347_MEGAHIT_TaxVamb.1027
k79_13957 flag=1 multi=9.0000 len=1303	ERR011347_MEGAHIT_TaxVamb.1028
k79_56343 flag=1 multi=7.0000 len=1302	ERR011347_MEGAHIT_TaxVamb.1029
k79_96107 flag=1 multi=6.0000 len=3503	ERR011347_MEGAHIT_TaxVamb.102
k79_91172 flag=1 multi=7.0000 len=1302	ERR011347_MEGAHIT_TaxVamb.1030
k79_75917 flag=1 multi=12.0000 len=1302	ERR011347_MEGAHIT_TaxVamb.1031
k79_81822 flag=1 multi=6.0000 len=1301	ERR011347_MEGAHIT_TaxVamb.1032
k79_62825 flag=1 multi=7.0000 len=1300	ERR011347_MEGAHIT_TaxVamb.1033
k79_74553 flag=1 multi=7.0000 len=1300	ERR011347_MEGAHIT_TaxVamb.1034
k79_1348 flag=1 multi=6.0000 len=1299	ERR011347_MEGAHIT_TaxVamb.1035
k79_12015 flag=1 multi=6.0000 len=1299	ERR011347_MEGAHIT_TaxVamb.1036
k79_39828 flag=1 multi=3.0000 len=1296	ERR011347_MEGAHIT_TaxVamb.1037
k79_21701 flag=1 multi=5.0000 len=1296	ERR011347_MEGAHIT_TaxVamb.1038
k79_12120 flag=1 multi=7.0000 len=1295	ERR011347_MEGAHIT_TaxVamb.1039
k79_23758 flag=1 multi=5.0000 len=3307	ERR011347_MEGAHIT_TaxVamb.103
k79_49396 flag=1 multi=5.0000 len=1295	ERR011347_MEGAHIT_TaxVamb.1040
k79_42859 flag=1 multi=11.0000 len=1294	ERR011347_MEGAHIT_TaxVamb.1041
k79_22013 flag=1 multi=6.0000 len=1294	ERR011347_MEGAHIT_TaxVamb.1042
k79_31755 flag=1 multi=7.0000 len=1294	ERR011347_MEGAHIT_TaxVamb.1043
k79_50061 flag=1 multi=7.0000 len=1293	ERR011347_MEGAHIT_TaxVamb.1044
k79_49191 flag=1 multi=11.0000 len=1292	ERR011347_MEGAHIT_TaxVamb.1045
k79_3850 flag=1 multi=8.0000 len=1292	ERR011347_MEGAHIT_TaxVamb.1046
k79_73306 flag=1 multi=8.0000 len=1290	ERR011347_MEGAHIT_TaxVamb.1047
k79_28986 flag=1 multi=8.0000 len=1289	ERR011347_MEGAHIT_TaxVamb.1048
k79_77389 flag=1 multi=6.0000 len=1288	ERR011347_MEGAHIT_TaxVamb.1049
k79_20799 flag=1 multi=5.0000 len=3293	ERR011347_MEGAHIT_TaxVamb.104
k79_10560 flag=1 multi=6.0000 len=1288	ERR011347_MEGAHIT_TaxVamb.1050
k79_60942 flag=1 multi=6.0000 len=1285	ERR011347_MEGAHIT_TaxVamb.1051
k79_59436 flag=1 multi=7.0000 len=1285	ERR011347_MEGAHIT_TaxVamb.1052
k79_54578 flag=1 multi=6.0000 len=1285	ERR011347_MEGAHIT_TaxVamb.1053
k79_74282 flag=1 multi=6.0000 len=1284	ERR011347_MEGAHIT_TaxVamb.1054
k79_38931 flag=1 multi=8.0000 len=1283	ERR011347_MEGAHIT_TaxVamb.1055
k79_84720 flag=1 multi=8.0000 len=1283	ERR011347_MEGAHIT_TaxVamb.1056
k79_25835 flag=1 multi=5.0000 len=1282	ERR011347_MEGAHIT_TaxVamb.1057
k79_84936 flag=1 multi=8.0000 len=1281	ERR011347_MEGAHIT_TaxVamb.1058
k79_95337 flag=1 multi=4.0000 len=1278	ERR011347_MEGAHIT_TaxVamb.1059
k79_68818 flag=1 multi=9.0000 len=3283	ERR011347_MEGAHIT_TaxVamb.105
k79_72199 flag=1 multi=5.0000 len=1278	ERR011347_MEGAHIT_TaxVamb.1060
k79_22594 flag=1 multi=11.0000 len=1277	ERR011347_MEGAHIT_TaxVamb.1061
k79_28877 flag=1 multi=5.0000 len=1277	ERR011347_MEGAHIT_TaxVamb.1062
k79_9803 flag=1 multi=6.0000 len=1276	ERR011347_MEGAHIT_TaxVamb.1063
k79_56560 flag=1 multi=10.0000 len=1276	ERR011347_MEGAHIT_TaxVamb.1064
k79_51724 flag=1 multi=6.0000 len=1275	ERR011347_MEGAHIT_TaxVamb.1065
k79_91082 flag=1 multi=7.0000 len=1274	ERR011347_MEGAHIT_TaxVamb.1066
k79_42317 flag=1 multi=4.0000 len=1271	ERR011347_MEGAHIT_TaxVamb.1067
k79_48846 flag=1 multi=5.0000 len=1271	ERR011347_MEGAHIT_TaxVamb.1068
k79_39908 flag=1 multi=7.0000 len=1271	ERR011347_MEGAHIT_TaxVamb.1069
k79_77138 flag=1 multi=8.0000 len=3234	ERR011347_MEGAHIT_TaxVamb.106
k79_65485 flag=1 multi=7.0000 len=1270	ERR011347_MEGAHIT_TaxVamb.1070
k79_87790 flag=1 multi=6.0000 len=1269	ERR011347_MEGAHIT_TaxVamb.1071
k79_21947 flag=1 multi=8.0000 len=1268	ERR011347_MEGAHIT_TaxVamb.1072
k79_32527 flag=1 multi=4.0000 len=1267	ERR011347_MEGAHIT_TaxVamb.1073
k79_23733 flag=1 multi=4.0000 len=1266	ERR011347_MEGAHIT_TaxVamb.1074
k79_77332 flag=1 multi=8.0000 len=1266	ERR011347_MEGAHIT_TaxVamb.1075
k79_19836 flag=1 multi=5.0000 len=1266	ERR011347_MEGAHIT_TaxVamb.1076
k79_60626 flag=1 multi=7.0000 len=1265	ERR011347_MEGAHIT_TaxVamb.1077
k79_28745 flag=1 multi=5.0000 len=1264	ERR011347_MEGAHIT_TaxVamb.1078
k79_15336 flag=1 multi=6.0000 len=1264	ERR011347_MEGAHIT_TaxVamb.1079
k79_65846 flag=1 multi=10.0000 len=3210	ERR011347_MEGAHIT_TaxVamb.107
k79_88100 flag=1 multi=12.0000 len=1264	ERR011347_MEGAHIT_TaxVamb.1080
k79_60219 flag=1 multi=6.0000 len=1262	ERR011347_MEGAHIT_TaxVamb.1081
k79_6505 flag=1 multi=12.0000 len=1942	ERR011347_MEGAHIT_TaxVamb.1082
k79_64757 flag=1 multi=5.0000 len=1260	ERR011347_MEGAHIT_TaxVamb.1083
k79_17202 flag=1 multi=5.0000 len=1259	ERR011347_MEGAHIT_TaxVamb.1084
k79_43153 flag=1 multi=3.0000 len=1031	ERR011347_MEGAHIT_TaxVamb.1085
k79_58879 flag=1 multi=4.0000 len=1196	ERR011347_MEGAHIT_TaxVamb.1085
k79_42515 flag=1 multi=5.0000 len=1219	ERR011347_MEGAHIT_TaxVamb.1085
k79_14935 flag=1 multi=6.0000 len=1258	ERR011347_MEGAHIT_TaxVamb.1085
k79_16978 flag=1 multi=6.0000 len=1257	ERR011347_MEGAHIT_TaxVamb.1086
k79_89834 flag=1 multi=6.0000 len=1256	ERR011347_MEGAHIT_TaxVamb.1087
k79_18271 flag=1 multi=7.0000 len=1255	ERR011347_MEGAHIT_TaxVamb.1088
k79_17473 flag=1 multi=4.0000 len=1255	ERR011347_MEGAHIT_TaxVamb.1089
k79_82427 flag=1 multi=7.0000 len=3191	ERR011347_MEGAHIT_TaxVamb.108
k79_66923 flag=1 multi=5.0000 len=1251	ERR011347_MEGAHIT_TaxVamb.1090
k79_82911 flag=1 multi=8.0000 len=1250	ERR011347_MEGAHIT_TaxVamb.1091
k79_82032 flag=1 multi=4.0000 len=1249	ERR011347_MEGAHIT_TaxVamb.1092
k79_11027 flag=1 multi=5.0000 len=1249	ERR011347_MEGAHIT_TaxVamb.1093
k79_50710 flag=1 multi=5.0000 len=1249	ERR011347_MEGAHIT_TaxVamb.1094
k79_13991 flag=1 multi=5.0000 len=1246	ERR011347_MEGAHIT_TaxVamb.1095
k79_34308 flag=1 multi=4.0000 len=1246	ERR011347_MEGAHIT_TaxVamb.1096
k79_74781 flag=1 multi=15.0000 len=1246	ERR011347_MEGAHIT_TaxVamb.1097
k79_33600 flag=1 multi=8.0000 len=1245	ERR011347_MEGAHIT_TaxVamb.1098
k79_44763 flag=1 multi=3.0000 len=1245	ERR011347_MEGAHIT_TaxVamb.1099
k79_56324 flag=1 multi=8.0000 len=3171	ERR011347_MEGAHIT_TaxVamb.109
k79_28187 flag=1 multi=8.0000 len=8263	ERR011347_MEGAHIT_TaxVamb.10
k79_96992 flag=1 multi=4.0000 len=1245	ERR011347_MEGAHIT_TaxVamb.1100
k79_87920 flag=1 multi=12.0000 len=1245	ERR011347_MEGAHIT_TaxVamb.1101
k79_19269 flag=1 multi=5.0000 len=1245	ERR011347_MEGAHIT_TaxVamb.1102
k79_11366 flag=1 multi=5.0000 len=1244	ERR011347_MEGAHIT_TaxVamb.1103
k79_93915 flag=1 multi=6.0000 len=1244	ERR011347_MEGAHIT_TaxVamb.1104
k79_49131 flag=1 multi=8.0000 len=1244	ERR011347_MEGAHIT_TaxVamb.1105
k79_65683 flag=1 multi=15.0000 len=1127	ERR011347_MEGAHIT_TaxVamb.1106
k79_70848 flag=1 multi=9.0000 len=1236	ERR011347_MEGAHIT_TaxVamb.1106
k79_26905 flag=1 multi=10.0000 len=1199	ERR011347_MEGAHIT_TaxVamb.1106
k79_56619 flag=1 multi=11.0000 len=1047	ERR011347_MEGAHIT_TaxVamb.1106
k79_66678 flag=1 multi=10.0000 len=1027	ERR011347_MEGAHIT_TaxVamb.1106
k79_24066 flag=1 multi=9.0000 len=1224	ERR011347_MEGAHIT_TaxVamb.1106
k79_16355 flag=1 multi=10.0000 len=1048	ERR011347_MEGAHIT_TaxVamb.1106
k79_25758 flag=1 multi=11.0000 len=1244	ERR011347_MEGAHIT_TaxVamb.1106
k79_65070 flag=1 multi=8.0000 len=1179	ERR011347_MEGAHIT_TaxVamb.1106
k79_16579 flag=1 multi=9.0000 len=1228	ERR011347_MEGAHIT_TaxVamb.1106
k79_67817 flag=1 multi=3.0000 len=1243	ERR011347_MEGAHIT_TaxVamb.1107
k79_51846 flag=1 multi=5.0000 len=1242	ERR011347_MEGAHIT_TaxVamb.1108
k79_85358 flag=1 multi=5.0000 len=1241	ERR011347_MEGAHIT_TaxVamb.1109
k79_78403 flag=1 multi=13.0000 len=3148	ERR011347_MEGAHIT_TaxVamb.110
k79_42137 flag=1 multi=5.0000 len=1239	ERR011347_MEGAHIT_TaxVamb.1110
k79_73125 flag=1 multi=5.0000 len=1238	ERR011347_MEGAHIT_TaxVamb.1111
k79_24904 flag=1 multi=13.0000 len=1238	ERR011347_MEGAHIT_TaxVamb.1112
k79_73201 flag=1 multi=5.0000 len=1237	ERR011347_MEGAHIT_TaxVamb.1113
k79_27282 flag=1 multi=7.0000 len=1237	ERR011347_MEGAHIT_TaxVamb.1114
k79_10050 flag=1 multi=7.0000 len=1237	ERR011347_MEGAHIT_TaxVamb.1115
k79_27751 flag=1 multi=9.0000 len=1236	ERR011347_MEGAHIT_TaxVamb.1116
k79_44577 flag=1 multi=6.0000 len=1235	ERR011347_MEGAHIT_TaxVamb.1117
k79_55214 flag=1 multi=6.0000 len=1234	ERR011347_MEGAHIT_TaxVamb.1118
k79_35209 flag=1 multi=6.0000 len=1232	ERR011347_MEGAHIT_TaxVamb.1119
k79_52454 flag=1 multi=8.0000 len=3140	ERR011347_MEGAHIT_TaxVamb.111
k79_7874 flag=1 multi=9.0000 len=1232	ERR011347_MEGAHIT_TaxVamb.1120
k79_75548 flag=1 multi=5.0000 len=1231	ERR011347_MEGAHIT_TaxVamb.1121
k79_92514 flag=1 multi=7.0000 len=1230	ERR011347_MEGAHIT_TaxVamb.1122
k79_78761 flag=1 multi=9.0000 len=1230	ERR011347_MEGAHIT_TaxVamb.1123
k79_17682 flag=1 multi=10.0000 len=1229	ERR011347_MEGAHIT_TaxVamb.1124
k79_93003 flag=1 multi=4.0000 len=1128	ERR011347_MEGAHIT_TaxVamb.1125
k79_6446 flag=1 multi=3.0000 len=1050	ERR011347_MEGAHIT_TaxVamb.1125
k79_80305 flag=1 multi=3.0000 len=1007	ERR011347_MEGAHIT_TaxVamb.1125
k79_13340 flag=1 multi=3.0000 len=1082	ERR011347_MEGAHIT_TaxVamb.1125
k79_25877 flag=1 multi=4.0000 len=1229	ERR011347_MEGAHIT_TaxVamb.1125
k79_66531 flag=1 multi=7.0000 len=1229	ERR011347_MEGAHIT_TaxVamb.1126
k79_54857 flag=1 multi=4.0000 len=1227	ERR011347_MEGAHIT_TaxVamb.1127
k79_73082 flag=1 multi=9.0000 len=1227	ERR011347_MEGAHIT_TaxVamb.1128
k79_23560 flag=1 multi=6.0000 len=1226	ERR011347_MEGAHIT_TaxVamb.1129
k79_39077 flag=1 multi=4.0000 len=3110	ERR011347_MEGAHIT_TaxVamb.112
k79_25458 flag=1 multi=6.0000 len=1226	ERR011347_MEGAHIT_TaxVamb.1130
k79_67109 flag=1 multi=5.0000 len=1224	ERR011347_MEGAHIT_TaxVamb.1131
k79_90243 flag=1 multi=5.0000 len=1224	ERR011347_MEGAHIT_TaxVamb.1132
k79_36337 flag=1 multi=9.0000 len=1224	ERR011347_MEGAHIT_TaxVamb.1133
k79_27880 flag=1 multi=6.0000 len=1223	ERR011347_MEGAHIT_TaxVamb.1134
k79_95803 flag=1 multi=6.0000 len=1223	ERR011347_MEGAHIT_TaxVamb.1135
k79_65511 flag=1 multi=6.0000 len=1223	ERR011347_MEGAHIT_TaxVamb.1136
k79_82072 flag=1 multi=5.0000 len=1222	ERR011347_MEGAHIT_TaxVamb.1137
k79_72075 flag=1 multi=9.0000 len=1222	ERR011347_MEGAHIT_TaxVamb.1138
k79_79960 flag=1 multi=4.0000 len=1222	ERR011347_MEGAHIT_TaxVamb.1139
k79_15017 flag=1 multi=9.0000 len=3103	ERR011347_MEGAHIT_TaxVamb.113
k79_40467 flag=1 multi=6.0000 len=1221	ERR011347_MEGAHIT_TaxVamb.1140
k79_46504 flag=1 multi=8.0000 len=1219	ERR011347_MEGAHIT_TaxVamb.1141
k79_16120 flag=1 multi=8.0000 len=1219	ERR011347_MEGAHIT_TaxVamb.1142
k79_92520 flag=1 multi=4.0000 len=1218	ERR011347_MEGAHIT_TaxVamb.1143
k79_76790 flag=1 multi=3.0000 len=1218	ERR011347_MEGAHIT_TaxVamb.1144
k79_3002 flag=1 multi=9.0000 len=1216	ERR011347_MEGAHIT_TaxVamb.1145
k79_73296 flag=1 multi=5.0000 len=1216	ERR011347_MEGAHIT_TaxVamb.1146
k79_13743 flag=1 multi=8.0000 len=1214	ERR011347_MEGAHIT_TaxVamb.1147
k79_31626 flag=1 multi=4.0000 len=1212	ERR011347_MEGAHIT_TaxVamb.1148
k79_60012 flag=1 multi=6.0000 len=1212	ERR011347_MEGAHIT_TaxVamb.1149
k79_80694 flag=1 multi=7.0000 len=3090	ERR011347_MEGAHIT_TaxVamb.114
k79_94984 flag=1 multi=6.0000 len=1211	ERR011347_MEGAHIT_TaxVamb.1150
k79_90260 flag=1 multi=9.0000 len=1210	ERR011347_MEGAHIT_TaxVamb.1151
k79_13256 flag=1 multi=7.0000 len=1209	ERR011347_MEGAHIT_TaxVamb.1152
k79_52184 flag=1 multi=6.0000 len=1208	ERR011347_MEGAHIT_TaxVamb.1153
k79_42257 flag=1 multi=5.0000 len=1208	ERR011347_MEGAHIT_TaxVamb.1154
k79_95978 flag=1 multi=9.0000 len=1207	ERR011347_MEGAHIT_TaxVamb.1155
k79_96913 flag=1 multi=6.0000 len=1207	ERR011347_MEGAHIT_TaxVamb.1156
k79_47107 flag=1 multi=5.0000 len=1207	ERR011347_MEGAHIT_TaxVamb.1157
k79_52497 flag=1 multi=7.0000 len=1206	ERR011347_MEGAHIT_TaxVamb.1158
k79_69814 flag=1 multi=9.0000 len=1206	ERR011347_MEGAHIT_TaxVamb.1159
k79_5634 flag=1 multi=3.0000 len=1023	ERR011347_MEGAHIT_TaxVamb.115
k79_63809 flag=1 multi=7.0000 len=1038	ERR011347_MEGAHIT_TaxVamb.115
k79_1248 flag=1 multi=7.0000 len=1563	ERR011347_MEGAHIT_TaxVamb.115
k79_42716 flag=1 multi=4.0000 len=1084	ERR011347_MEGAHIT_TaxVamb.115
k79_11351 flag=1 multi=4.0000 len=1092	ERR011347_MEGAHIT_TaxVamb.115
k79_44089 flag=1 multi=3.0000 len=1044	ERR011347_MEGAHIT_TaxVamb.115
k79_95343 flag=1 multi=5.0000 len=1414	ERR011347_MEGAHIT_TaxVamb.115
k79_56228 flag=1 multi=4.0000 len=1244	ERR011347_MEGAHIT_TaxVamb.115
k79_33425 flag=1 multi=4.0000 len=1642	ERR011347_MEGAHIT_TaxVamb.115
k79_63365 flag=1 multi=4.0000 len=1049	ERR011347_MEGAHIT_TaxVamb.115
k79_44041 flag=1 multi=3.0000 len=1127	ERR011347_MEGAHIT_TaxVamb.115
k79_34234 flag=1 multi=5.0000 len=1168	ERR011347_MEGAHIT_TaxVamb.115
k79_45359 flag=1 multi=4.0000 len=1009	ERR011347_MEGAHIT_TaxVamb.115
k79_31628 flag=1 multi=5.0000 len=1447	ERR011347_MEGAHIT_TaxVamb.115
k79_44598 flag=1 multi=5.0000 len=1338	ERR011347_MEGAHIT_TaxVamb.115
k79_2808 flag=1 multi=3.0000 len=1306	ERR011347_MEGAHIT_TaxVamb.115
k79_42900 flag=1 multi=4.0000 len=1167	ERR011347_MEGAHIT_TaxVamb.115
k79_81839 flag=1 multi=5.0000 len=1143	ERR011347_MEGAHIT_TaxVamb.115
k79_19626 flag=1 multi=7.0000 len=2627	ERR011347_MEGAHIT_TaxVamb.115
k79_73608 flag=1 multi=5.0000 len=1288	ERR011347_MEGAHIT_TaxVamb.115
k79_27437 flag=1 multi=3.0000 len=1224	ERR011347_MEGAHIT_TaxVamb.115
k79_21739 flag=1 multi=4.0000 len=1005	ERR011347_MEGAHIT_TaxVamb.115
k79_20490 flag=1 multi=5.0000 len=1471	ERR011347_MEGAHIT_TaxVamb.115
k79_96682 flag=1 multi=6.0000 len=1099	ERR011347_MEGAHIT_TaxVamb.115
k79_47915 flag=1 multi=4.0000 len=1082	ERR011347_MEGAHIT_TaxVamb.115
k79_65333 flag=1 multi=4.0000 len=1297	ERR011347_MEGAHIT_TaxVamb.115
k79_70917 flag=1 multi=7.0000 len=2693	ERR011347_MEGAHIT_TaxVamb.115
k79_93295 flag=1 multi=4.0000 len=1034	ERR011347_MEGAHIT_TaxVamb.115
k79_39163 flag=1 multi=4.0000 len=1371	ERR011347_MEGAHIT_TaxVamb.115
k79_54203 flag=1 multi=3.0000 len=1000	ERR011347_MEGAHIT_TaxVamb.115
k79_82270 flag=1 multi=4.0000 len=1060	ERR011347_MEGAHIT_TaxVamb.115
k79_7880 flag=1 multi=4.0000 len=1324	ERR011347_MEGAHIT_TaxVamb.115
k79_1185 flag=1 multi=3.0000 len=1123	ERR011347_MEGAHIT_TaxVamb.115
k79_32078 flag=1 multi=3.0000 len=1367	ERR011347_MEGAHIT_TaxVamb.115
k79_31232 flag=1 multi=4.0000 len=1678	ERR011347_MEGAHIT_TaxVamb.115
k79_51320 flag=1 multi=7.0000 len=1757	ERR011347_MEGAHIT_TaxVamb.115
k79_70528 flag=1 multi=4.0000 len=1096	ERR011347_MEGAHIT_TaxVamb.115
k79_60750 flag=1 multi=6.0000 len=1313	ERR011347_MEGAHIT_TaxVamb.115
k79_20135 flag=1 multi=4.0000 len=1101	ERR011347_MEGAHIT_TaxVamb.115
k79_86191 flag=1 multi=3.0000 len=1046	ERR011347_MEGAHIT_TaxVamb.115
k79_17509 flag=1 multi=4.0000 len=1289	ERR011347_MEGAHIT_TaxVamb.115
k79_28336 flag=1 multi=4.0000 len=1149	ERR011347_MEGAHIT_TaxVamb.115
k79_71694 flag=1 multi=4.0000 len=1152	ERR011347_MEGAHIT_TaxVamb.115
k79_50826 flag=1 multi=5.0000 len=1008	ERR011347_MEGAHIT_TaxVamb.115
k79_21936 flag=1 multi=4.0000 len=1551	ERR011347_MEGAHIT_TaxVamb.115
k79_45549 flag=1 multi=7.0000 len=1486	ERR011347_MEGAHIT_TaxVamb.115
k79_14912 flag=1 multi=5.0000 len=1065	ERR011347_MEGAHIT_TaxVamb.115
k79_498 flag=1 multi=4.0000 len=1620	ERR011347_MEGAHIT_TaxVamb.115
k79_24355 flag=1 multi=6.0000 len=1040	ERR011347_MEGAHIT_TaxVamb.115
k79_69246 flag=1 multi=6.0000 len=2114	ERR011347_MEGAHIT_TaxVamb.115
k79_13682 flag=1 multi=5.0000 len=1181	ERR011347_MEGAHIT_TaxVamb.115
k79_66033 flag=1 multi=7.0000 len=1053	ERR011347_MEGAHIT_TaxVamb.115
k79_7333 flag=1 multi=6.0000 len=1917	ERR011347_MEGAHIT_TaxVamb.115
k79_9532 flag=1 multi=4.0000 len=1206	ERR011347_MEGAHIT_TaxVamb.115
k79_84882 flag=1 multi=5.0000 len=1073	ERR011347_MEGAHIT_TaxVamb.115
k79_91184 flag=1 multi=5.0000 len=1539	ERR011347_MEGAHIT_TaxVamb.115
k79_21288 flag=1 multi=6.0000 len=1298	ERR011347_MEGAHIT_TaxVamb.115
k79_94555 flag=1 multi=3.0000 len=1134	ERR011347_MEGAHIT_TaxVamb.115
k79_7985 flag=1 multi=3.0000 len=1053	ERR011347_MEGAHIT_TaxVamb.115
k79_76759 flag=1 multi=5.0000 len=1152	ERR011347_MEGAHIT_TaxVamb.115
k79_82805 flag=1 multi=6.0000 len=1082	ERR011347_MEGAHIT_TaxVamb.115
k79_234 flag=1 multi=4.0000 len=1195	ERR011347_MEGAHIT_TaxVamb.115
k79_68138 flag=1 multi=4.0000 len=1743	ERR011347_MEGAHIT_TaxVamb.115
k79_67 flag=1 multi=4.0000 len=1048	ERR011347_MEGAHIT_TaxVamb.115
k79_15031 flag=1 multi=3.0000 len=1066	ERR011347_MEGAHIT_TaxVamb.115
k79_75875 flag=1 multi=7.0000 len=1171	ERR011347_MEGAHIT_TaxVamb.115
k79_41405 flag=1 multi=3.0000 len=2076	ERR011347_MEGAHIT_TaxVamb.115
k79_21856 flag=1 multi=3.0000 len=1591	ERR011347_MEGAHIT_TaxVamb.115
k79_76405 flag=1 multi=4.0000 len=1181	ERR011347_MEGAHIT_TaxVamb.115
k79_67205 flag=1 multi=6.0000 len=1107	ERR011347_MEGAHIT_TaxVamb.115
k79_51601 flag=1 multi=4.0000 len=1210	ERR011347_MEGAHIT_TaxVamb.115
k79_82629 flag=1 multi=4.0000 len=1043	ERR011347_MEGAHIT_TaxVamb.115
k79_52736 flag=1 multi=4.0000 len=1257	ERR011347_MEGAHIT_TaxVamb.115
k79_44646 flag=1 multi=4.0000 len=1011	ERR011347_MEGAHIT_TaxVamb.115
k79_62676 flag=1 multi=3.0000 len=1071	ERR011347_MEGAHIT_TaxVamb.115
k79_15963 flag=1 multi=5.0000 len=1047	ERR011347_MEGAHIT_TaxVamb.115
k79_76906 flag=1 multi=6.0000 len=2241	ERR011347_MEGAHIT_TaxVamb.115
k79_31288 flag=1 multi=3.0000 len=1096	ERR011347_MEGAHIT_TaxVamb.115
k79_11998 flag=1 multi=4.0000 len=1296	ERR011347_MEGAHIT_TaxVamb.115
k79_83861 flag=1 multi=5.0000 len=1101	ERR011347_MEGAHIT_TaxVamb.115
k79_6675 flag=1 multi=4.0000 len=1079	ERR011347_MEGAHIT_TaxVamb.115
k79_17142 flag=1 multi=7.0000 len=1293	ERR011347_MEGAHIT_TaxVamb.115
k79_29117 flag=1 multi=3.0000 len=1104	ERR011347_MEGAHIT_TaxVamb.115
k79_87926 flag=1 multi=6.0000 len=1936	ERR011347_MEGAHIT_TaxVamb.115
k79_46775 flag=1 multi=4.0000 len=1969	ERR011347_MEGAHIT_TaxVamb.115
k79_18337 flag=1 multi=3.0000 len=1028	ERR011347_MEGAHIT_TaxVamb.115
k79_82653 flag=1 multi=7.0000 len=1549	ERR011347_MEGAHIT_TaxVamb.115
k79_57634 flag=1 multi=5.0000 len=1180	ERR011347_MEGAHIT_TaxVamb.115
k79_88452 flag=1 multi=5.0000 len=1068	ERR011347_MEGAHIT_TaxVamb.115
k79_15399 flag=1 multi=4.0000 len=1014	ERR011347_MEGAHIT_TaxVamb.115
k79_79162 flag=1 multi=5.0000 len=1563	ERR011347_MEGAHIT_TaxVamb.115
k79_8260 flag=1 multi=3.0000 len=1019	ERR011347_MEGAHIT_TaxVamb.115
k79_38747 flag=1 multi=7.0000 len=1544	ERR011347_MEGAHIT_TaxVamb.115
k79_47710 flag=1 multi=4.0000 len=1137	ERR011347_MEGAHIT_TaxVamb.115
k79_35675 flag=1 multi=6.0000 len=2007	ERR011347_MEGAHIT_TaxVamb.115
k79_76212 flag=1 multi=6.0000 len=1166	ERR011347_MEGAHIT_TaxVamb.115
k79_13621 flag=1 multi=4.0000 len=1014	ERR011347_MEGAHIT_TaxVamb.115
k79_78835 flag=1 multi=5.0000 len=1936	ERR011347_MEGAHIT_TaxVamb.115
