k79_15973 flag=1 multi=6.0000 len=1009	ERR011349_MEGAHIT_TaxVamb.100
k79_10008 flag=1 multi=5.0000 len=1424	ERR011349_MEGAHIT_TaxVamb.117
k79_11537 flag=1 multi=4.0000 len=1035	ERR011349_MEGAHIT_TaxVamb.117
k79_3184 flag=1 multi=3.0000 len=1012	ERR011349_MEGAHIT_TaxVamb.117
k79_34093 flag=1 multi=5.0000 len=1519	ERR011349_MEGAHIT_TaxVamb.117
k79_7442 flag=1 multi=5.0000 len=2038	ERR011349_MEGAHIT_TaxVamb.117
k79_25506 flag=1 multi=3.0000 len=1235	ERR011349_MEGAHIT_TaxVamb.117
k79_36241 flag=1 multi=5.0000 len=1136	ERR011349_MEGAHIT_TaxVamb.117
k79_3770 flag=1 multi=6.0000 len=1306	ERR011349_MEGAHIT_TaxVamb.117
k79_15924 flag=1 multi=4.0000 len=1542	ERR011349_MEGAHIT_TaxVamb.117
k79_36346 flag=1 multi=4.0000 len=1064	ERR011349_MEGAHIT_TaxVamb.117
k79_32002 flag=1 multi=4.0000 len=1292	ERR011349_MEGAHIT_TaxVamb.118
k79_11552 flag=1 multi=4.0000 len=3083	ERR011349_MEGAHIT_TaxVamb.118
k79_10363 flag=1 multi=3.0000 len=1039	ERR011349_MEGAHIT_TaxVamb.118
k79_35346 flag=1 multi=5.0000 len=1956	ERR011349_MEGAHIT_TaxVamb.118
k79_33601 flag=1 multi=9.0000 len=1515	ERR011349_MEGAHIT_TaxVamb.118
k79_18605 flag=1 multi=6.0000 len=1812	ERR011349_MEGAHIT_TaxVamb.118
k79_13311 flag=1 multi=6.0000 len=1080	ERR011349_MEGAHIT_TaxVamb.118
k79_2191 flag=1 multi=4.0000 len=2524	ERR011349_MEGAHIT_TaxVamb.118
k79_35301 flag=1 multi=5.0000 len=1133	ERR011349_MEGAHIT_TaxVamb.118
k79_30633 flag=1 multi=4.0000 len=1187	ERR011349_MEGAHIT_TaxVamb.118
k79_27317 flag=1 multi=7.0000 len=3084	ERR011349_MEGAHIT_TaxVamb.118
k79_11929 flag=1 multi=4.0000 len=1166	ERR011349_MEGAHIT_TaxVamb.118
k79_25090 flag=0 multi=6.9334 len=1882	ERR011349_MEGAHIT_TaxVamb.118
k79_30116 flag=1 multi=3.0000 len=1712	ERR011349_MEGAHIT_TaxVamb.119
k79_6060 flag=1 multi=5.0000 len=1126	ERR011349_MEGAHIT_TaxVamb.11
k79_8832 flag=1 multi=4.0000 len=1023	ERR011349_MEGAHIT_TaxVamb.11
k79_1932 flag=1 multi=4.0000 len=1077	ERR011349_MEGAHIT_TaxVamb.11
k79_10780 flag=1 multi=4.0000 len=1103	ERR011349_MEGAHIT_TaxVamb.11
k79_33118 flag=1 multi=5.0000 len=1403	ERR011349_MEGAHIT_TaxVamb.11
k79_4087 flag=1 multi=5.0000 len=1181	ERR011349_MEGAHIT_TaxVamb.11
k79_19245 flag=1 multi=4.0000 len=1032	ERR011349_MEGAHIT_TaxVamb.11
k79_6499 flag=1 multi=4.0000 len=1014	ERR011349_MEGAHIT_TaxVamb.11
k79_20028 flag=1 multi=5.0000 len=2287	ERR011349_MEGAHIT_TaxVamb.11
k79_3888 flag=1 multi=4.0000 len=4091	ERR011349_MEGAHIT_TaxVamb.11
k79_2608 flag=1 multi=5.0000 len=1558	ERR011349_MEGAHIT_TaxVamb.11
k79_8105 flag=1 multi=5.0000 len=1249	ERR011349_MEGAHIT_TaxVamb.11
k79_13440 flag=1 multi=4.0000 len=1214	ERR011349_MEGAHIT_TaxVamb.11
k79_19541 flag=1 multi=5.0000 len=1141	ERR011349_MEGAHIT_TaxVamb.11
k79_15811 flag=1 multi=4.0000 len=2102	ERR011349_MEGAHIT_TaxVamb.11
k79_24912 flag=1 multi=5.0000 len=1163	ERR011349_MEGAHIT_TaxVamb.11
k79_6849 flag=1 multi=4.0000 len=1298	ERR011349_MEGAHIT_TaxVamb.11
k79_29039 flag=1 multi=4.0000 len=1234	ERR011349_MEGAHIT_TaxVamb.11
k79_3835 flag=1 multi=3.0000 len=1159	ERR011349_MEGAHIT_TaxVamb.11
k79_19182 flag=1 multi=3.0000 len=1234	ERR011349_MEGAHIT_TaxVamb.11
k79_11127 flag=1 multi=4.0000 len=1573	ERR011349_MEGAHIT_TaxVamb.11
k79_31702 flag=1 multi=4.0000 len=1499	ERR011349_MEGAHIT_TaxVamb.11
k79_759 flag=1 multi=5.0000 len=1610	ERR011349_MEGAHIT_TaxVamb.11
k79_24314 flag=1 multi=4.0000 len=1221	ERR011349_MEGAHIT_TaxVamb.11
k79_23618 flag=1 multi=4.0000 len=1318	ERR011349_MEGAHIT_TaxVamb.11
k79_6387 flag=1 multi=4.0000 len=1319	ERR011349_MEGAHIT_TaxVamb.11
k79_30101 flag=1 multi=3.0000 len=1076	ERR011349_MEGAHIT_TaxVamb.11
k79_36678 flag=1 multi=3.0000 len=1417	ERR011349_MEGAHIT_TaxVamb.11
k79_989 flag=1 multi=4.0000 len=1939	ERR011349_MEGAHIT_TaxVamb.11
k79_2392 flag=1 multi=5.0000 len=1742	ERR011349_MEGAHIT_TaxVamb.11
k79_4034 flag=1 multi=4.0000 len=1070	ERR011349_MEGAHIT_TaxVamb.11
k79_27994 flag=1 multi=5.0000 len=1082	ERR011349_MEGAHIT_TaxVamb.11
k79_16379 flag=1 multi=5.0000 len=2239	ERR011349_MEGAHIT_TaxVamb.11
k79_26096 flag=1 multi=4.0000 len=1197	ERR011349_MEGAHIT_TaxVamb.11
k79_5566 flag=1 multi=5.0000 len=1206	ERR011349_MEGAHIT_TaxVamb.11
k79_21586 flag=1 multi=4.0000 len=1371	ERR011349_MEGAHIT_TaxVamb.11
k79_26395 flag=1 multi=4.0000 len=2243	ERR011349_MEGAHIT_TaxVamb.11
k79_16159 flag=1 multi=3.0000 len=1255	ERR011349_MEGAHIT_TaxVamb.11
k79_33654 flag=1 multi=2.0000 len=1074	ERR011349_MEGAHIT_TaxVamb.11
k79_21763 flag=1 multi=5.0000 len=1611	ERR011349_MEGAHIT_TaxVamb.11
k79_23085 flag=1 multi=4.0000 len=1178	ERR011349_MEGAHIT_TaxVamb.11
k79_3964 flag=1 multi=4.0000 len=1390	ERR011349_MEGAHIT_TaxVamb.11
k79_29184 flag=1 multi=4.0000 len=1119	ERR011349_MEGAHIT_TaxVamb.11
k79_35261 flag=1 multi=5.0000 len=1314	ERR011349_MEGAHIT_TaxVamb.11
k79_9466 flag=1 multi=4.0000 len=1911	ERR011349_MEGAHIT_TaxVamb.11
k79_2133 flag=1 multi=7.0000 len=3587	ERR011349_MEGAHIT_TaxVamb.11
k79_8050 flag=1 multi=4.0000 len=1312	ERR011349_MEGAHIT_TaxVamb.11
k79_30784 flag=1 multi=4.0000 len=1574	ERR011349_MEGAHIT_TaxVamb.11
k79_13805 flag=1 multi=5.0000 len=1208	ERR011349_MEGAHIT_TaxVamb.11
k79_24040 flag=1 multi=4.0000 len=1320	ERR011349_MEGAHIT_TaxVamb.11
k79_33855 flag=1 multi=3.0000 len=1007	ERR011349_MEGAHIT_TaxVamb.11
k79_34614 flag=1 multi=9.0000 len=1300	ERR011349_MEGAHIT_TaxVamb.11
k79_11890 flag=1 multi=5.0000 len=1010	ERR011349_MEGAHIT_TaxVamb.11
k79_25312 flag=1 multi=6.0000 len=1260	ERR011349_MEGAHIT_TaxVamb.11
k79_30573 flag=1 multi=3.0000 len=1112	ERR011349_MEGAHIT_TaxVamb.11
k79_36315 flag=1 multi=4.0000 len=1102	ERR011349_MEGAHIT_TaxVamb.11
k79_15095 flag=1 multi=6.0000 len=1380	ERR011349_MEGAHIT_TaxVamb.11
k79_25640 flag=1 multi=4.0000 len=1957	ERR011349_MEGAHIT_TaxVamb.11
k79_4661 flag=1 multi=5.0000 len=1086	ERR011349_MEGAHIT_TaxVamb.11
k79_7804 flag=1 multi=6.0000 len=1890	ERR011349_MEGAHIT_TaxVamb.11
k79_17972 flag=1 multi=5.0000 len=2435	ERR011349_MEGAHIT_TaxVamb.11
k79_16131 flag=1 multi=4.0000 len=1029	ERR011349_MEGAHIT_TaxVamb.11
k79_12018 flag=1 multi=8.0000 len=1958	ERR011349_MEGAHIT_TaxVamb.11
k79_18289 flag=1 multi=5.0000 len=2887	ERR011349_MEGAHIT_TaxVamb.11
k79_30558 flag=1 multi=4.0000 len=1206	ERR011349_MEGAHIT_TaxVamb.11
k79_25263 flag=1 multi=5.0000 len=1981	ERR011349_MEGAHIT_TaxVamb.11
k79_3913 flag=1 multi=5.0000 len=1055	ERR011349_MEGAHIT_TaxVamb.11
k79_12279 flag=1 multi=4.0000 len=1076	ERR011349_MEGAHIT_TaxVamb.11
k79_12623 flag=1 multi=6.0000 len=1788	ERR011349_MEGAHIT_TaxVamb.11
k79_31862 flag=1 multi=4.0000 len=1207	ERR011349_MEGAHIT_TaxVamb.11
k79_14098 flag=1 multi=4.0000 len=1217	ERR011349_MEGAHIT_TaxVamb.11
k79_18905 flag=1 multi=4.0000 len=1046	ERR011349_MEGAHIT_TaxVamb.11
k79_9046 flag=1 multi=4.0000 len=1099	ERR011349_MEGAHIT_TaxVamb.11
k79_30628 flag=1 multi=5.0000 len=1306	ERR011349_MEGAHIT_TaxVamb.11
k79_32170 flag=1 multi=4.0000 len=2118	ERR011349_MEGAHIT_TaxVamb.11
k79_12047 flag=1 multi=3.0000 len=1212	ERR011349_MEGAHIT_TaxVamb.11
k79_11084 flag=1 multi=5.0000 len=1181	ERR011349_MEGAHIT_TaxVamb.11
k79_12835 flag=1 multi=3.0000 len=1243	ERR011349_MEGAHIT_TaxVamb.11
k79_4242 flag=1 multi=9.0000 len=1176	ERR011349_MEGAHIT_TaxVamb.11
k79_13765 flag=1 multi=4.0000 len=1253	ERR011349_MEGAHIT_TaxVamb.11
k79_2152 flag=1 multi=6.0000 len=1271	ERR011349_MEGAHIT_TaxVamb.11
k79_8262 flag=1 multi=4.0000 len=1526	ERR011349_MEGAHIT_TaxVamb.11
k79_2382 flag=1 multi=4.0000 len=2061	ERR011349_MEGAHIT_TaxVamb.11
k79_13641 flag=1 multi=5.0000 len=1276	ERR011349_MEGAHIT_TaxVamb.11
k79_7719 flag=1 multi=5.0000 len=2380	ERR011349_MEGAHIT_TaxVamb.11
k79_11861 flag=1 multi=4.0000 len=1232	ERR011349_MEGAHIT_TaxVamb.11
k79_21633 flag=1 multi=4.0000 len=1147	ERR011349_MEGAHIT_TaxVamb.11
k79_5274 flag=1 multi=5.0000 len=1132	ERR011349_MEGAHIT_TaxVamb.11
k79_3420 flag=1 multi=4.0000 len=1609	ERR011349_MEGAHIT_TaxVamb.11
k79_32465 flag=1 multi=5.0000 len=1098	ERR011349_MEGAHIT_TaxVamb.11
k79_9066 flag=1 multi=6.8807 len=1538	ERR011349_MEGAHIT_TaxVamb.11
k79_3214 flag=1 multi=3.0000 len=1080	ERR011349_MEGAHIT_TaxVamb.11
k79_21229 flag=1 multi=4.0000 len=1352	ERR011349_MEGAHIT_TaxVamb.11
k79_17573 flag=1 multi=6.0000 len=1653	ERR011349_MEGAHIT_TaxVamb.11
k79_9503 flag=1 multi=3.0000 len=1027	ERR011349_MEGAHIT_TaxVamb.11
k79_6669 flag=1 multi=4.0000 len=1396	ERR011349_MEGAHIT_TaxVamb.11
k79_11882 flag=1 multi=4.0000 len=1039	ERR011349_MEGAHIT_TaxVamb.11
k79_14814 flag=1 multi=4.0000 len=1171	ERR011349_MEGAHIT_TaxVamb.11
k79_35890 flag=1 multi=4.0000 len=1787	ERR011349_MEGAHIT_TaxVamb.11
k79_2703 flag=1 multi=5.0000 len=1113	ERR011349_MEGAHIT_TaxVamb.11
k79_32244 flag=1 multi=4.0000 len=1297	ERR011349_MEGAHIT_TaxVamb.11
k79_9628 flag=1 multi=4.0000 len=1849	ERR011349_MEGAHIT_TaxVamb.11
k79_16101 flag=1 multi=4.0000 len=1411	ERR011349_MEGAHIT_TaxVamb.11
k79_6915 flag=1 multi=5.0000 len=1386	ERR011349_MEGAHIT_TaxVamb.11
k79_2830 flag=1 multi=7.0000 len=2605	ERR011349_MEGAHIT_TaxVamb.11
k79_14910 flag=1 multi=7.0000 len=1093	ERR011349_MEGAHIT_TaxVamb.11
k79_23438 flag=1 multi=3.0000 len=1422	ERR011349_MEGAHIT_TaxVamb.11
k79_35888 flag=1 multi=6.0000 len=1096	ERR011349_MEGAHIT_TaxVamb.11
k79_3777 flag=1 multi=3.0000 len=1381	ERR011349_MEGAHIT_TaxVamb.11
k79_10916 flag=1 multi=5.0000 len=1259	ERR011349_MEGAHIT_TaxVamb.11
k79_31583 flag=1 multi=5.0000 len=1428	ERR011349_MEGAHIT_TaxVamb.11
k79_29116 flag=1 multi=5.0000 len=1125	ERR011349_MEGAHIT_TaxVamb.11
k79_22707 flag=1 multi=5.0000 len=1240	ERR011349_MEGAHIT_TaxVamb.11
k79_5560 flag=1 multi=4.0000 len=1323	ERR011349_MEGAHIT_TaxVamb.11
k79_22685 flag=1 multi=3.0000 len=1241	ERR011349_MEGAHIT_TaxVamb.11
k79_6151 flag=1 multi=6.0000 len=1554	ERR011349_MEGAHIT_TaxVamb.11
k79_33170 flag=1 multi=4.0000 len=1615	ERR011349_MEGAHIT_TaxVamb.11
k79_18594 flag=1 multi=5.0000 len=1042	ERR011349_MEGAHIT_TaxVamb.11
k79_26702 flag=1 multi=6.0000 len=1003	ERR011349_MEGAHIT_TaxVamb.11
k79_20052 flag=1 multi=4.0000 len=1019	ERR011349_MEGAHIT_TaxVamb.11
k79_4984 flag=1 multi=5.0000 len=1063	ERR011349_MEGAHIT_TaxVamb.11
k79_9974 flag=1 multi=4.0000 len=2253	ERR011349_MEGAHIT_TaxVamb.11
k79_15416 flag=1 multi=4.0000 len=1314	ERR011349_MEGAHIT_TaxVamb.11
k79_15627 flag=1 multi=9.0000 len=2491	ERR011349_MEGAHIT_TaxVamb.11
k79_20466 flag=1 multi=5.0000 len=1074	ERR011349_MEGAHIT_TaxVamb.11
k79_36454 flag=1 multi=3.0000 len=2054	ERR011349_MEGAHIT_TaxVamb.11
k79_19874 flag=1 multi=5.0000 len=1590	ERR011349_MEGAHIT_TaxVamb.11
k79_20437 flag=1 multi=5.0000 len=1001	ERR011349_MEGAHIT_TaxVamb.11
k79_21078 flag=1 multi=4.0000 len=1717	ERR011349_MEGAHIT_TaxVamb.11
k79_22580 flag=1 multi=5.0000 len=1743	ERR011349_MEGAHIT_TaxVamb.11
k79_32307 flag=1 multi=6.0000 len=1575	ERR011349_MEGAHIT_TaxVamb.11
k79_21548 flag=1 multi=4.0000 len=1128	ERR011349_MEGAHIT_TaxVamb.11
k79_15861 flag=1 multi=4.0000 len=1138	ERR011349_MEGAHIT_TaxVamb.11
k79_29749 flag=1 multi=3.0000 len=1085	ERR011349_MEGAHIT_TaxVamb.11
k79_36466 flag=1 multi=5.0000 len=1236	ERR011349_MEGAHIT_TaxVamb.11
k79_21219 flag=1 multi=3.0000 len=1920	ERR011349_MEGAHIT_TaxVamb.11
k79_4010 flag=1 multi=4.0000 len=1500	ERR011349_MEGAHIT_TaxVamb.11
k79_8846 flag=1 multi=4.0000 len=1671	ERR011349_MEGAHIT_TaxVamb.11
k79_12903 flag=1 multi=4.0000 len=1850	ERR011349_MEGAHIT_TaxVamb.11
k79_24841 flag=1 multi=4.0000 len=1050	ERR011349_MEGAHIT_TaxVamb.11
k79_21418 flag=1 multi=4.0000 len=1073	ERR011349_MEGAHIT_TaxVamb.11
k79_8393 flag=1 multi=7.0000 len=1324	ERR011349_MEGAHIT_TaxVamb.11
k79_3295 flag=1 multi=4.0000 len=1252	ERR011349_MEGAHIT_TaxVamb.11
k79_17280 flag=1 multi=4.0000 len=1268	ERR011349_MEGAHIT_TaxVamb.11
k79_12446 flag=1 multi=5.0000 len=1706	ERR011349_MEGAHIT_TaxVamb.11
k79_32775 flag=1 multi=4.0000 len=1059	ERR011349_MEGAHIT_TaxVamb.11
k79_1384 flag=1 multi=5.0000 len=2279	ERR011349_MEGAHIT_TaxVamb.11
k79_22217 flag=1 multi=5.0000 len=2430	ERR011349_MEGAHIT_TaxVamb.11
k79_22339 flag=1 multi=4.0000 len=1644	ERR011349_MEGAHIT_TaxVamb.11
k79_12244 flag=1 multi=4.0000 len=1082	ERR011349_MEGAHIT_TaxVamb.11
k79_4870 flag=1 multi=3.0000 len=1105	ERR011349_MEGAHIT_TaxVamb.11
k79_11200 flag=1 multi=3.0000 len=1446	ERR011349_MEGAHIT_TaxVamb.11
k79_23336 flag=1 multi=4.0000 len=1070	ERR011349_MEGAHIT_TaxVamb.11
k79_18475 flag=1 multi=4.0000 len=1197	ERR011349_MEGAHIT_TaxVamb.11
k79_10230 flag=1 multi=5.0000 len=1002	ERR011349_MEGAHIT_TaxVamb.11
k79_33477 flag=1 multi=5.0000 len=1783	ERR011349_MEGAHIT_TaxVamb.11
k79_14084 flag=1 multi=4.0000 len=1015	ERR011349_MEGAHIT_TaxVamb.11
k79_10382 flag=1 multi=4.0000 len=1039	ERR011349_MEGAHIT_TaxVamb.11
k79_14924 flag=1 multi=4.0000 len=1183	ERR011349_MEGAHIT_TaxVamb.11
k79_11102 flag=1 multi=4.0000 len=1145	ERR011349_MEGAHIT_TaxVamb.11
k79_29885 flag=1 multi=5.0000 len=1171	ERR011349_MEGAHIT_TaxVamb.11
k79_32968 flag=1 multi=4.0000 len=1408	ERR011349_MEGAHIT_TaxVamb.11
k79_12715 flag=1 multi=5.0000 len=1021	ERR011349_MEGAHIT_TaxVamb.11
k79_35919 flag=1 multi=5.0000 len=1196	ERR011349_MEGAHIT_TaxVamb.11
k79_17600 flag=1 multi=5.0000 len=1428	ERR011349_MEGAHIT_TaxVamb.11
k79_4193 flag=1 multi=5.0000 len=1413	ERR011349_MEGAHIT_TaxVamb.11
k79_18021 flag=1 multi=5.0000 len=1737	ERR011349_MEGAHIT_TaxVamb.11
k79_27193 flag=1 multi=5.0000 len=1727	ERR011349_MEGAHIT_TaxVamb.11
k79_11071 flag=1 multi=4.0000 len=1739	ERR011349_MEGAHIT_TaxVamb.11
k79_36000 flag=1 multi=4.0000 len=1028	ERR011349_MEGAHIT_TaxVamb.11
k79_26783 flag=1 multi=3.0000 len=1135	ERR011349_MEGAHIT_TaxVamb.11
k79_29404 flag=1 multi=5.0000 len=1690	ERR011349_MEGAHIT_TaxVamb.11
k79_6468 flag=1 multi=4.0000 len=1288	ERR011349_MEGAHIT_TaxVamb.11
k79_33473 flag=1 multi=4.0000 len=2669	ERR011349_MEGAHIT_TaxVamb.11
k79_8199 flag=1 multi=3.0000 len=1152	ERR011349_MEGAHIT_TaxVamb.11
k79_11557 flag=1 multi=3.0000 len=1176	ERR011349_MEGAHIT_TaxVamb.11
k79_17168 flag=1 multi=5.0000 len=1185	ERR011349_MEGAHIT_TaxVamb.11
k79_23872 flag=1 multi=4.0000 len=1301	ERR011349_MEGAHIT_TaxVamb.11
k79_11613 flag=1 multi=3.0000 len=1730	ERR011349_MEGAHIT_TaxVamb.11
k79_36046 flag=1 multi=4.0000 len=1176	ERR011349_MEGAHIT_TaxVamb.11
k79_9873 flag=1 multi=4.0000 len=1160	ERR011349_MEGAHIT_TaxVamb.11
k79_3341 flag=1 multi=4.0000 len=1014	ERR011349_MEGAHIT_TaxVamb.11
k79_33175 flag=1 multi=4.0000 len=2456	ERR011349_MEGAHIT_TaxVamb.11
k79_2313 flag=1 multi=6.0000 len=1293	ERR011349_MEGAHIT_TaxVamb.11
k79_3545 flag=1 multi=5.0000 len=1191	ERR011349_MEGAHIT_TaxVamb.11
k79_4673 flag=1 multi=6.0000 len=1033	ERR011349_MEGAHIT_TaxVamb.11
k79_26285 flag=1 multi=4.0000 len=1215	ERR011349_MEGAHIT_TaxVamb.11
