k79_28844 flag=1 multi=4.0000 len=1696	ERR011348_MEGAHIT_TaxVamb.1000
k79_8379 flag=1 multi=3.0000 len=1311	ERR011348_MEGAHIT_TaxVamb.1008
k79_76916 flag=1 multi=3.0000 len=1035	ERR011348_MEGAHIT_TaxVamb.1008
k79_3241 flag=1 multi=4.0000 len=1397	ERR011348_MEGAHIT_TaxVamb.1008
k79_53906 flag=1 multi=3.0000 len=1389	ERR011348_MEGAHIT_TaxVamb.1008
k79_21504 flag=1 multi=3.0000 len=1156	ERR011348_MEGAHIT_TaxVamb.1008
k79_95061 flag=1 multi=2.6361 len=1049	ERR011348_MEGAHIT_TaxVamb.1008
k79_17676 flag=1 multi=2.0000 len=1052	ERR011348_MEGAHIT_TaxVamb.1008
k79_25935 flag=1 multi=3.0000 len=1164	ERR011348_MEGAHIT_TaxVamb.1008
k79_74738 flag=1 multi=2.6571 len=1050	ERR011348_MEGAHIT_TaxVamb.1008
k79_75123 flag=1 multi=3.1811 len=1437	ERR011348_MEGAHIT_TaxVamb.1008
k79_43321 flag=1 multi=3.0000 len=1167	ERR011348_MEGAHIT_TaxVamb.1008
k79_31272 flag=1 multi=3.0000 len=1342	ERR011348_MEGAHIT_TaxVamb.1008
k79_78670 flag=1 multi=4.0000 len=1237	ERR011348_MEGAHIT_TaxVamb.1008
k79_76042 flag=1 multi=3.0000 len=1001	ERR011348_MEGAHIT_TaxVamb.1008
k79_19908 flag=1 multi=2.9444 len=1410	ERR011348_MEGAHIT_TaxVamb.1008
k79_55756 flag=1 multi=4.0000 len=1165	ERR011348_MEGAHIT_TaxVamb.1008
k79_78958 flag=1 multi=3.0000 len=1097	ERR011348_MEGAHIT_TaxVamb.1008
k79_29860 flag=1 multi=3.0000 len=1524	ERR011348_MEGAHIT_TaxVamb.1008
k79_89527 flag=1 multi=2.8948 len=1049	ERR011348_MEGAHIT_TaxVamb.1008
k79_23371 flag=1 multi=2.5191 len=1229	ERR011348_MEGAHIT_TaxVamb.1008
k79_62229 flag=1 multi=4.0000 len=1651	ERR011348_MEGAHIT_TaxVamb.1008
k79_16326 flag=1 multi=2.0000 len=1034	ERR011348_MEGAHIT_TaxVamb.1008
k79_39657 flag=1 multi=3.0000 len=1103	ERR011348_MEGAHIT_TaxVamb.1008
k79_26269 flag=1 multi=2.9473 len=1028	ERR011348_MEGAHIT_TaxVamb.1008
k79_87710 flag=1 multi=8.0000 len=1642	ERR011348_MEGAHIT_TaxVamb.1009
k79_64667 flag=1 multi=6.0000 len=1956	ERR011348_MEGAHIT_TaxVamb.100
k79_59157 flag=1 multi=6.0000 len=6436	ERR011348_MEGAHIT_TaxVamb.100
k79_33062 flag=0 multi=6.6221 len=1312	ERR011348_MEGAHIT_TaxVamb.100
k79_41004 flag=1 multi=5.0000 len=1077	ERR011348_MEGAHIT_TaxVamb.100
k79_91292 flag=1 multi=4.0000 len=1056	ERR011348_MEGAHIT_TaxVamb.100
k79_22128 flag=1 multi=3.0000 len=1235	ERR011348_MEGAHIT_TaxVamb.100
k79_1577 flag=1 multi=4.0000 len=1257	ERR011348_MEGAHIT_TaxVamb.100
k79_20616 flag=1 multi=4.0000 len=1800	ERR011348_MEGAHIT_TaxVamb.100
k79_20661 flag=1 multi=7.0000 len=4241	ERR011348_MEGAHIT_TaxVamb.100
k79_67240 flag=1 multi=6.0000 len=2147	ERR011348_MEGAHIT_TaxVamb.100
k79_33522 flag=1 multi=4.0000 len=1362	ERR011348_MEGAHIT_TaxVamb.100
k79_79540 flag=1 multi=4.0000 len=1218	ERR011348_MEGAHIT_TaxVamb.100
k79_72941 flag=1 multi=4.0000 len=1705	ERR011348_MEGAHIT_TaxVamb.100
k79_48416 flag=1 multi=5.0000 len=1864	ERR011348_MEGAHIT_TaxVamb.100
k79_79162 flag=1 multi=4.0000 len=1687	ERR011348_MEGAHIT_TaxVamb.100
k79_6279 flag=1 multi=4.0000 len=4116	ERR011348_MEGAHIT_TaxVamb.100
k79_47653 flag=1 multi=5.0000 len=1647	ERR011348_MEGAHIT_TaxVamb.100
k79_35921 flag=1 multi=4.0000 len=1083	ERR011348_MEGAHIT_TaxVamb.100
k79_14702 flag=1 multi=6.0000 len=1640	ERR011348_MEGAHIT_TaxVamb.1010
k79_27296 flag=1 multi=5.0000 len=1640	ERR011348_MEGAHIT_TaxVamb.1011
k79_14628 flag=0 multi=9.0814 len=1639	ERR011348_MEGAHIT_TaxVamb.1012
k79_10257 flag=1 multi=5.0000 len=1639	ERR011348_MEGAHIT_TaxVamb.1013
k79_7638 flag=1 multi=4.6870 len=1638	ERR011348_MEGAHIT_TaxVamb.1014
k79_32437 flag=1 multi=5.0000 len=1638	ERR011348_MEGAHIT_TaxVamb.1015
k79_10855 flag=1 multi=4.0000 len=1636	ERR011348_MEGAHIT_TaxVamb.1016
k79_26853 flag=1 multi=4.0000 len=1633	ERR011348_MEGAHIT_TaxVamb.1017
k79_2938 flag=1 multi=5.0000 len=1632	ERR011348_MEGAHIT_TaxVamb.1018
k79_10254 flag=1 multi=6.0000 len=1631	ERR011348_MEGAHIT_TaxVamb.1019
k79_51598 flag=1 multi=8.0000 len=6402	ERR011348_MEGAHIT_TaxVamb.101
k79_75224 flag=1 multi=6.0000 len=1014	ERR011348_MEGAHIT_TaxVamb.1020
k79_31429 flag=1 multi=7.0000 len=1626	ERR011348_MEGAHIT_TaxVamb.1020
k79_87211 flag=1 multi=6.0000 len=1626	ERR011348_MEGAHIT_TaxVamb.1021
k79_76378 flag=1 multi=3.0000 len=1626	ERR011348_MEGAHIT_TaxVamb.1022
k79_42318 flag=1 multi=6.0000 len=1626	ERR011348_MEGAHIT_TaxVamb.1023
k79_66538 flag=1 multi=3.0000 len=1623	ERR011348_MEGAHIT_TaxVamb.1024
k79_89427 flag=1 multi=4.0000 len=1619	ERR011348_MEGAHIT_TaxVamb.1025
k79_12151 flag=1 multi=4.0000 len=1211	ERR011348_MEGAHIT_TaxVamb.1026
k79_64401 flag=1 multi=3.9941 len=1617	ERR011348_MEGAHIT_TaxVamb.1026
k79_46625 flag=1 multi=4.0000 len=1616	ERR011348_MEGAHIT_TaxVamb.1027
k79_71127 flag=1 multi=3.0000 len=1615	ERR011348_MEGAHIT_TaxVamb.1028
k79_23123 flag=1 multi=3.0000 len=1548	ERR011348_MEGAHIT_TaxVamb.1029
k79_15324 flag=1 multi=3.0000 len=1077	ERR011348_MEGAHIT_TaxVamb.1029
k79_69932 flag=1 multi=3.0000 len=1088	ERR011348_MEGAHIT_TaxVamb.1029
k79_47170 flag=1 multi=3.0000 len=1503	ERR011348_MEGAHIT_TaxVamb.1029
k79_55952 flag=1 multi=2.0000 len=1085	ERR011348_MEGAHIT_TaxVamb.1029
k79_10431 flag=1 multi=3.0000 len=1024	ERR011348_MEGAHIT_TaxVamb.1029
k79_86591 flag=1 multi=3.0000 len=1614	ERR011348_MEGAHIT_TaxVamb.1029
k79_88544 flag=1 multi=5.0000 len=3865	ERR011348_MEGAHIT_TaxVamb.102
k79_52125 flag=1 multi=4.0000 len=4458	ERR011348_MEGAHIT_TaxVamb.102
k79_23130 flag=1 multi=7.0000 len=1262	ERR011348_MEGAHIT_TaxVamb.102
k79_77268 flag=1 multi=3.0000 len=1878	ERR011348_MEGAHIT_TaxVamb.102
k79_33583 flag=1 multi=4.8393 len=1193	ERR011348_MEGAHIT_TaxVamb.102
k79_8374 flag=1 multi=5.0000 len=2532	ERR011348_MEGAHIT_TaxVamb.102
k79_3864 flag=1 multi=4.0000 len=1012	ERR011348_MEGAHIT_TaxVamb.102
k79_25346 flag=1 multi=5.0000 len=1156	ERR011348_MEGAHIT_TaxVamb.102
k79_688 flag=1 multi=5.0000 len=3007	ERR011348_MEGAHIT_TaxVamb.102
k79_38077 flag=1 multi=4.0000 len=1487	ERR011348_MEGAHIT_TaxVamb.102
k79_91963 flag=0 multi=3.9729 len=2292	ERR011348_MEGAHIT_TaxVamb.102
k79_39558 flag=1 multi=3.0000 len=1116	ERR011348_MEGAHIT_TaxVamb.102
k79_28164 flag=1 multi=5.0000 len=1174	ERR011348_MEGAHIT_TaxVamb.102
k79_436 flag=0 multi=4.9571 len=1942	ERR011348_MEGAHIT_TaxVamb.102
k79_33847 flag=1 multi=5.0000 len=2043	ERR011348_MEGAHIT_TaxVamb.102
k79_40845 flag=1 multi=4.0000 len=1188	ERR011348_MEGAHIT_TaxVamb.102
k79_80400 flag=1 multi=4.0000 len=3752	ERR011348_MEGAHIT_TaxVamb.102
k79_4191 flag=1 multi=5.0000 len=2179	ERR011348_MEGAHIT_TaxVamb.102
k79_2193 flag=1 multi=6.0000 len=1587	ERR011348_MEGAHIT_TaxVamb.102
k79_50664 flag=1 multi=6.0000 len=3897	ERR011348_MEGAHIT_TaxVamb.102
k79_52974 flag=1 multi=5.0000 len=2206	ERR011348_MEGAHIT_TaxVamb.102
k79_46164 flag=1 multi=4.0000 len=2447	ERR011348_MEGAHIT_TaxVamb.102
k79_5618 flag=1 multi=5.0000 len=2264	ERR011348_MEGAHIT_TaxVamb.102
k79_48236 flag=1 multi=6.0000 len=1524	ERR011348_MEGAHIT_TaxVamb.102
k79_15228 flag=1 multi=5.0000 len=1907	ERR011348_MEGAHIT_TaxVamb.102
k79_75514 flag=1 multi=5.0000 len=1623	ERR011348_MEGAHIT_TaxVamb.102
k79_88483 flag=1 multi=5.0000 len=6145	ERR011348_MEGAHIT_TaxVamb.102
k79_25018 flag=1 multi=7.0000 len=1768	ERR011348_MEGAHIT_TaxVamb.102
k79_49158 flag=1 multi=6.0000 len=1786	ERR011348_MEGAHIT_TaxVamb.102
k79_79643 flag=1 multi=4.0000 len=1927	ERR011348_MEGAHIT_TaxVamb.102
k79_19015 flag=1 multi=5.0000 len=5025	ERR011348_MEGAHIT_TaxVamb.102
k79_37293 flag=1 multi=4.0000 len=1262	ERR011348_MEGAHIT_TaxVamb.102
k79_92960 flag=1 multi=3.9859 len=1989	ERR011348_MEGAHIT_TaxVamb.102
k79_91664 flag=0 multi=4.9663 len=2450	ERR011348_MEGAHIT_TaxVamb.102
k79_34766 flag=1 multi=5.0000 len=1650	ERR011348_MEGAHIT_TaxVamb.102
k79_73279 flag=1 multi=3.0000 len=1012	ERR011348_MEGAHIT_TaxVamb.102
k79_10725 flag=0 multi=5.9835 len=6137	ERR011348_MEGAHIT_TaxVamb.102
k79_62578 flag=1 multi=4.0000 len=1083	ERR011348_MEGAHIT_TaxVamb.102
k79_67923 flag=1 multi=5.0000 len=2033	ERR011348_MEGAHIT_TaxVamb.102
k79_22198 flag=1 multi=6.0000 len=1683	ERR011348_MEGAHIT_TaxVamb.102
k79_45234 flag=1 multi=5.0000 len=3209	ERR011348_MEGAHIT_TaxVamb.102
k79_80284 flag=1 multi=4.0000 len=1014	ERR011348_MEGAHIT_TaxVamb.102
k79_60547 flag=1 multi=5.0000 len=1424	ERR011348_MEGAHIT_TaxVamb.102
k79_88002 flag=1 multi=5.0000 len=2263	ERR011348_MEGAHIT_TaxVamb.102
k79_55365 flag=1 multi=4.0000 len=2585	ERR011348_MEGAHIT_TaxVamb.102
k79_68195 flag=1 multi=4.0000 len=3403	ERR011348_MEGAHIT_TaxVamb.102
k79_29361 flag=1 multi=4.0000 len=2719	ERR011348_MEGAHIT_TaxVamb.102
k79_17417 flag=1 multi=7.0000 len=3118	ERR011348_MEGAHIT_TaxVamb.102
k79_3722 flag=1 multi=3.0000 len=1669	ERR011348_MEGAHIT_TaxVamb.102
k79_72693 flag=1 multi=4.0000 len=2223	ERR011348_MEGAHIT_TaxVamb.102
k79_25274 flag=1 multi=4.9949 len=6343	ERR011348_MEGAHIT_TaxVamb.102
k79_34422 flag=1 multi=3.6016 len=1216	ERR011348_MEGAHIT_TaxVamb.102
k79_40620 flag=0 multi=4.0000 len=7234	ERR011348_MEGAHIT_TaxVamb.102
k79_1564 flag=1 multi=5.0000 len=4753	ERR011348_MEGAHIT_TaxVamb.102
k79_20408 flag=1 multi=5.0000 len=1876	ERR011348_MEGAHIT_TaxVamb.102
k79_26843 flag=1 multi=4.0000 len=2367	ERR011348_MEGAHIT_TaxVamb.102
k79_93412 flag=1 multi=5.0000 len=4445	ERR011348_MEGAHIT_TaxVamb.102
k79_10934 flag=1 multi=4.0000 len=1024	ERR011348_MEGAHIT_TaxVamb.102
k79_20456 flag=1 multi=4.0000 len=3992	ERR011348_MEGAHIT_TaxVamb.102
k79_28335 flag=1 multi=5.0000 len=4282	ERR011348_MEGAHIT_TaxVamb.102
k79_80269 flag=1 multi=5.0000 len=1947	ERR011348_MEGAHIT_TaxVamb.102
k79_3461 flag=1 multi=3.9481 len=1525	ERR011348_MEGAHIT_TaxVamb.102
k79_10313 flag=1 multi=5.0000 len=2087	ERR011348_MEGAHIT_TaxVamb.102
k79_94879 flag=1 multi=5.9348 len=1613	ERR011348_MEGAHIT_TaxVamb.1030
k79_76710 flag=1 multi=3.9334 len=1611	ERR011348_MEGAHIT_TaxVamb.1031
k79_78603 flag=0 multi=4.4192 len=1422	ERR011348_MEGAHIT_TaxVamb.1031
k79_14423 flag=1 multi=4.0000 len=1606	ERR011348_MEGAHIT_TaxVamb.1032
k79_25912 flag=1 multi=5.0000 len=1606	ERR011348_MEGAHIT_TaxVamb.1033
k79_17300 flag=1 multi=5.0000 len=1605	ERR011348_MEGAHIT_TaxVamb.1034
k79_38654 flag=1 multi=9.0000 len=1600	ERR011348_MEGAHIT_TaxVamb.1035
k79_26612 flag=0 multi=5.4510 len=1600	ERR011348_MEGAHIT_TaxVamb.1036
k79_35553 flag=1 multi=5.9737 len=1600	ERR011348_MEGAHIT_TaxVamb.1037
k79_82097 flag=0 multi=4.7103 len=1598	ERR011348_MEGAHIT_TaxVamb.1038
k79_24543 flag=1 multi=8.6192 len=1274	ERR011348_MEGAHIT_TaxVamb.1039
k79_20424 flag=0 multi=19.8997 len=1355	ERR011348_MEGAHIT_TaxVamb.1039
k79_82064 flag=0 multi=7.1880 len=1217	ERR011348_MEGAHIT_TaxVamb.1039
k79_5813 flag=0 multi=10.7885 len=1441	ERR011348_MEGAHIT_TaxVamb.1039
k79_86982 flag=0 multi=46.0935 len=1597	ERR011348_MEGAHIT_TaxVamb.1039
k79_83496 flag=1 multi=6.0000 len=6297	ERR011348_MEGAHIT_TaxVamb.103
k79_12380 flag=1 multi=4.6141 len=1468	ERR011348_MEGAHIT_TaxVamb.1040
k79_32571 flag=1 multi=4.0000 len=1350	ERR011348_MEGAHIT_TaxVamb.1040
k79_59785 flag=1 multi=3.8769 len=2158	ERR011348_MEGAHIT_TaxVamb.1040
k79_57804 flag=1 multi=6.0000 len=2064	ERR011348_MEGAHIT_TaxVamb.1040
k79_51359 flag=0 multi=4.7860 len=2747	ERR011348_MEGAHIT_TaxVamb.1040
k79_68789 flag=1 multi=5.0000 len=1817	ERR011348_MEGAHIT_TaxVamb.1040
k79_63265 flag=1 multi=4.0000 len=1086	ERR011348_MEGAHIT_TaxVamb.1040
k79_26977 flag=1 multi=5.0000 len=6051	ERR011348_MEGAHIT_TaxVamb.1040
k79_47877 flag=0 multi=4.9472 len=1594	ERR011348_MEGAHIT_TaxVamb.1040
k79_95031 flag=1 multi=5.0000 len=1594	ERR011348_MEGAHIT_TaxVamb.1041
k79_82340 flag=1 multi=5.0000 len=1592	ERR011348_MEGAHIT_TaxVamb.1042
k79_94819 flag=1 multi=5.0000 len=1592	ERR011348_MEGAHIT_TaxVamb.1043
k79_3764 flag=1 multi=4.0000 len=1591	ERR011348_MEGAHIT_TaxVamb.1044
k79_48399 flag=1 multi=3.7943 len=1100	ERR011348_MEGAHIT_TaxVamb.1044
k79_19609 flag=1 multi=4.0000 len=1591	ERR011348_MEGAHIT_TaxVamb.1045
k79_24372 flag=1 multi=3.0000 len=1043	ERR011348_MEGAHIT_TaxVamb.1045
k79_55375 flag=1 multi=4.0000 len=1590	ERR011348_MEGAHIT_TaxVamb.1046
k79_67545 flag=1 multi=2.0000 len=1590	ERR011348_MEGAHIT_TaxVamb.1047
k79_6073 flag=1 multi=3.6746 len=1588	ERR011348_MEGAHIT_TaxVamb.1048
k79_28794 flag=1 multi=4.0000 len=1588	ERR011348_MEGAHIT_TaxVamb.1049
k79_75129 flag=0 multi=9.9710 len=6276	ERR011348_MEGAHIT_TaxVamb.104
k79_56270 flag=1 multi=4.0000 len=1586	ERR011348_MEGAHIT_TaxVamb.1050
k79_20420 flag=1 multi=6.0000 len=1586	ERR011348_MEGAHIT_TaxVamb.1051
k79_83719 flag=1 multi=7.0000 len=1585	ERR011348_MEGAHIT_TaxVamb.1052
k79_69875 flag=1 multi=4.0000 len=1585	ERR011348_MEGAHIT_TaxVamb.1053
k79_55208 flag=1 multi=3.0000 len=1584	ERR011348_MEGAHIT_TaxVamb.1054
k79_92030 flag=1 multi=6.0000 len=1583	ERR011348_MEGAHIT_TaxVamb.1055
k79_29600 flag=1 multi=4.0000 len=1582	ERR011348_MEGAHIT_TaxVamb.1056
k79_52442 flag=1 multi=4.0000 len=1581	ERR011348_MEGAHIT_TaxVamb.1057
k79_90318 flag=1 multi=3.0000 len=1577	ERR011348_MEGAHIT_TaxVamb.1058
k79_42233 flag=0 multi=6.2190 len=1545	ERR011348_MEGAHIT_TaxVamb.1059
k79_77954 flag=0 multi=6.7957 len=1577	ERR011348_MEGAHIT_TaxVamb.1059
k79_48613 flag=0 multi=11.9594 len=2912	ERR011348_MEGAHIT_TaxVamb.105
k79_4208 flag=0 multi=6.7718 len=1762	ERR011348_MEGAHIT_TaxVamb.105
k79_30562 flag=0 multi=6.5443 len=1830	ERR011348_MEGAHIT_TaxVamb.105
k79_26948 flag=1 multi=9.0000 len=2008	ERR011348_MEGAHIT_TaxVamb.105
k79_27573 flag=0 multi=14.8539 len=1995	ERR011348_MEGAHIT_TaxVamb.105
k79_25381 flag=1 multi=16.2963 len=2762	ERR011348_MEGAHIT_TaxVamb.105
k79_47075 flag=0 multi=3.4331 len=1402	ERR011348_MEGAHIT_TaxVamb.105
k79_47789 flag=0 multi=8.1422 len=1464	ERR011348_MEGAHIT_TaxVamb.105
k79_12426 flag=0 multi=6.8601 len=1108	ERR011348_MEGAHIT_TaxVamb.105
k79_37549 flag=0 multi=4.8160 len=1101	ERR011348_MEGAHIT_TaxVamb.105
k79_24924 flag=0 multi=7.8273 len=1405	ERR011348_MEGAHIT_TaxVamb.105
k79_75058 flag=0 multi=10.3088 len=2025	ERR011348_MEGAHIT_TaxVamb.105
k79_85107 flag=0 multi=9.7911 len=1515	ERR011348_MEGAHIT_TaxVamb.105
k79_90457 flag=0 multi=11.7464 len=6152	ERR011348_MEGAHIT_TaxVamb.105
k79_53136 flag=1 multi=4.0000 len=1577	ERR011348_MEGAHIT_TaxVamb.1060
k79_44336 flag=1 multi=4.0000 len=1575	ERR011348_MEGAHIT_TaxVamb.1061
k79_89603 flag=1 multi=4.0000 len=1575	ERR011348_MEGAHIT_TaxVamb.1062
k79_63530 flag=1 multi=5.0000 len=1572	ERR011348_MEGAHIT_TaxVamb.1063
k79_92054 flag=0 multi=2.9129 len=1572	ERR011348_MEGAHIT_TaxVamb.1064
k79_91739 flag=1 multi=6.0000 len=1571	ERR011348_MEGAHIT_TaxVamb.1065
k79_87909 flag=1 multi=3.0000 len=1569	ERR011348_MEGAHIT_TaxVamb.1066
k79_46157 flag=1 multi=5.0000 len=1569	ERR011348_MEGAHIT_TaxVamb.1067
k79_72517 flag=0 multi=6.4520 len=1568	ERR011348_MEGAHIT_TaxVamb.1068
k79_16317 flag=1 multi=6.0000 len=1566	ERR011348_MEGAHIT_TaxVamb.1069
k79_31202 flag=1 multi=5.0000 len=6116	ERR011348_MEGAHIT_TaxVamb.106
k79_81887 flag=1 multi=9.0000 len=1566	ERR011348_MEGAHIT_TaxVamb.1070
k79_62635 flag=1 multi=5.0000 len=1563	ERR011348_MEGAHIT_TaxVamb.1071
k79_90602 flag=1 multi=4.0000 len=1561	ERR011348_MEGAHIT_TaxVamb.1072
k79_82664 flag=1 multi=6.0000 len=1558	ERR011348_MEGAHIT_TaxVamb.1073
k79_85090 flag=0 multi=2.7780 len=1187	ERR011348_MEGAHIT_TaxVamb.1074
k79_36293 flag=1 multi=3.8045 len=1061	ERR011348_MEGAHIT_TaxVamb.1074
k79_28495 flag=1 multi=3.3720 len=1216	ERR011348_MEGAHIT_TaxVamb.1074
k79_63966 flag=1 multi=5.0000 len=1557	ERR011348_MEGAHIT_TaxVamb.1074
k79_85847 flag=1 multi=4.0000 len=1557	ERR011348_MEGAHIT_TaxVamb.1074
k79_70831 flag=1 multi=4.0000 len=1557	ERR011348_MEGAHIT_TaxVamb.1075
k79_28719 flag=1 multi=4.0000 len=1556	ERR011348_MEGAHIT_TaxVamb.1076
k79_84598 flag=1 multi=5.0000 len=1556	ERR011348_MEGAHIT_TaxVamb.1077
k79_54286 flag=0 multi=4.9347 len=1305	ERR011348_MEGAHIT_TaxVamb.1077
k79_63434 flag=1 multi=4.0000 len=1554	ERR011348_MEGAHIT_TaxVamb.1078
k79_95387 flag=1 multi=4.0000 len=1224	ERR011348_MEGAHIT_TaxVamb.1079
k79_81376 flag=1 multi=3.0000 len=1467	ERR011348_MEGAHIT_TaxVamb.1079
k79_39165 flag=1 multi=3.0000 len=1019	ERR011348_MEGAHIT_TaxVamb.1079
k79_61531 flag=1 multi=4.0000 len=1293	ERR011348_MEGAHIT_TaxVamb.1079
k79_49669 flag=1 multi=4.0000 len=1012	ERR011348_MEGAHIT_TaxVamb.1079
k79_28222 flag=1 multi=3.0000 len=1553	ERR011348_MEGAHIT_TaxVamb.1079
k79_19457 flag=1 multi=3.0000 len=1035	ERR011348_MEGAHIT_TaxVamb.1079
k79_20179 flag=1 multi=4.0000 len=1171	ERR011348_MEGAHIT_TaxVamb.1079
k79_49437 flag=1 multi=3.0000 len=1164	ERR011348_MEGAHIT_TaxVamb.1079
k79_52506 flag=1 multi=3.0000 len=1062	ERR011348_MEGAHIT_TaxVamb.1079
k79_68249 flag=1 multi=2.0000 len=1056	ERR011348_MEGAHIT_TaxVamb.1079
k79_58416 flag=1 multi=4.0000 len=1301	ERR011348_MEGAHIT_TaxVamb.1079
k79_86161 flag=1 multi=4.0000 len=1165	ERR011348_MEGAHIT_TaxVamb.1079
k79_6532 flag=1 multi=3.0000 len=1181	ERR011348_MEGAHIT_TaxVamb.1079
k79_36632 flag=1 multi=4.0000 len=1360	ERR011348_MEGAHIT_TaxVamb.1079
k79_79582 flag=1 multi=10.0000 len=6107	ERR011348_MEGAHIT_TaxVamb.107
k79_2185 flag=1 multi=3.0000 len=1396	ERR011348_MEGAHIT_TaxVamb.1080
k79_22450 flag=1 multi=3.0000 len=1195	ERR011348_MEGAHIT_TaxVamb.1080
k79_43693 flag=1 multi=3.0000 len=1553	ERR011348_MEGAHIT_TaxVamb.1080
k79_85285 flag=1 multi=4.0000 len=1398	ERR011348_MEGAHIT_TaxVamb.1080
k79_3416 flag=1 multi=3.0000 len=1418	ERR011348_MEGAHIT_TaxVamb.1080
k79_33003 flag=1 multi=5.0000 len=1553	ERR011348_MEGAHIT_TaxVamb.1081
k79_90663 flag=1 multi=7.0000 len=1552	ERR011348_MEGAHIT_TaxVamb.1082
k79_24746 flag=1 multi=4.0000 len=1550	ERR011348_MEGAHIT_TaxVamb.1083
k79_74217 flag=1 multi=4.4476 len=1549	ERR011348_MEGAHIT_TaxVamb.1084
k79_72796 flag=1 multi=4.0000 len=1546	ERR011348_MEGAHIT_TaxVamb.1085
k79_92711 flag=1 multi=3.0000 len=1078	ERR011348_MEGAHIT_TaxVamb.1086
k79_72366 flag=1 multi=3.0000 len=1545	ERR011348_MEGAHIT_TaxVamb.1086
k79_89612 flag=1 multi=4.0000 len=1545	ERR011348_MEGAHIT_TaxVamb.1087
k79_69366 flag=1 multi=6.6844 len=4268	ERR011348_MEGAHIT_TaxVamb.1088
k79_7612 flag=1 multi=4.0000 len=1540	ERR011348_MEGAHIT_TaxVamb.1089
k79_48540 flag=1 multi=11.9314 len=6008	ERR011348_MEGAHIT_TaxVamb.108
k79_42220 flag=1 multi=5.0000 len=1538	ERR011348_MEGAHIT_TaxVamb.1090
k79_17422 flag=1 multi=4.0000 len=1536	ERR011348_MEGAHIT_TaxVamb.1091
k79_6546 flag=1 multi=4.0000 len=1535	ERR011348_MEGAHIT_TaxVamb.1092
k79_61751 flag=1 multi=7.0000 len=1531	ERR011348_MEGAHIT_TaxVamb.1093
k79_31960 flag=1 multi=6.0000 len=1531	ERR011348_MEGAHIT_TaxVamb.1094
k79_35091 flag=0 multi=5.4353 len=1531	ERR011348_MEGAHIT_TaxVamb.1095
k79_95524 flag=1 multi=3.0000 len=1531	ERR011348_MEGAHIT_TaxVamb.1096
k79_44189 flag=1 multi=6.0000 len=1529	ERR011348_MEGAHIT_TaxVamb.1097
k79_86130 flag=1 multi=3.0000 len=1529	ERR011348_MEGAHIT_TaxVamb.1098
k79_31304 flag=1 multi=5.0000 len=1527	ERR011348_MEGAHIT_TaxVamb.1099
k79_49189 flag=0 multi=5.0000 len=1700	ERR011348_MEGAHIT_TaxVamb.109
k79_56535 flag=1 multi=5.0000 len=6004	ERR011348_MEGAHIT_TaxVamb.109
k79_37694 flag=1 multi=4.0000 len=1484	ERR011348_MEGAHIT_TaxVamb.109
k79_24453 flag=0 multi=5.9164 len=1275	ERR011348_MEGAHIT_TaxVamb.10
