genome1,genome2,dist,similarity
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,0.0,1.0
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,0.022204995,0.977795
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,0.295981,0.704019
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,0.263022,0.736978
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,0.022204995,0.977795
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,0.0,1.0
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,0.295981,0.704019
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,0.024683118,0.9753169
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,0.0,1.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,0.295981,0.704019
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,0.0,1.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,0.243761,0.756239
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,0.295981,0.704019
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,0.0,1.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,0.295981,0.704019
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,0.0,1.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,0.243761,0.756239
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,0.0,1.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.1.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.20.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.5.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.15_sub.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,0.295981,0.704019
ERR011348_MEGAHIT_TaxVamb_Refined.16.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.10.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,0.0,1.0
ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.6_sub.fa,ERR011349_MEGAHIT_TaxVamb_Refined.2.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.21.fa,ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,1.0,0.0
ERR011347_MEGAHIT_TaxVamb_Refined.2.fa,ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.6_sub.fa,ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,1.0,0.0
ERR011349_MEGAHIT_TaxVamb_Refined.1.fa,ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,1.0,0.0
ERR011348_MEGAHIT_TaxVamb_Refined.44.fa,ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,1.0,0.0
ERR011348_MEGAHIT_MetaBinner_Refined.1.fa,ERR011347_MEGAHIT_TaxVamb_Refined.43.fa,1.0,0.0
